---,ItemWardrobeRow,GameplayTag,NameOverride,DyeOverride,ItemClass,Notes
Common_Global_1_Boots_DM_F,"(RowName=""Common_Global_1_Boots"")","(TagName=""Character.Player.DuskMage.Female"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Boots_DM_F_NameOverride"", ""Soft Footwraps"")","(RowName="""")","/Game/Items/Armour/duskmage/dm_f_t1b_boots/dm_f_t1b_boots_bp.dm_f_t1b_boots_bp_C",""
Common_Global_1_Boots_DM_M,"(RowName=""Common_Global_1_Boots"")","(TagName=""Character.Player.DuskMage.Male"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Boots_DM_M_NameOverride"", ""Soft Footwraps"")","(RowName="""")","/Game/Items/Armour/duskmage/dm_m_t1b_boots/dm_m_t1b_boots_bp.dm_m_t1b_boots_bp_C",""
Common_Global_1_Boots_RM_F,"(RowName=""Common_Global_1_Boots"")","(TagName=""Character.Player.Railman.Female"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Boots_RM_F_NameOverride"", ""Rough Workboots"")","(RowName="""")","/Game/Items/Armour/railman/rm_f_t1b_boots/rm_f_t1b_boots_bp.rm_f_t1b_boots_bp_C",""
Common_Global_1_Boots_RM_M,"(RowName=""Common_Global_1_Boots"")","(TagName=""Character.Player.Railman.Male"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Boots_RM_M_NameOverride"", ""Rough Workboots"")","(RowName="""")","/Game/Items/Armour/railman/rm_m_t1b_boots/rm_m_t1b_boots_bp.rm_m_t1b_boots_bp_C",""
Common_Global_1_Boots_SS_F,"(RowName=""Common_Global_1_Boots"")","(TagName=""Character.Player.Sharpshooter.Female"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Boots_SS_F_NameOverride"", ""Hunting Boots"")","(RowName="""")","/Game/Items/Armour/sharpshooter/ss_f_t2b_boots/ss_f_t2b_boots_bp.ss_f_t2b_boots_bp_C",""
Common_Global_1_Boots_SS_M,"(RowName=""Common_Global_1_Boots"")","(TagName=""Character.Player.Sharpshooter.Male"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Boots_SS_M_NameOverride"", ""Hunting Boots"")","(RowName="""")","/Game/Items/Armour/sharpshooter/ss_m_t2b_boots/ss_m_t2b_boots_bp.ss_m_t2b_boots_bp_C",""
Common_Global_1_Chest_DM_F,"(RowName=""Common_Global_1_Chest"")","(TagName=""Character.Player.DuskMage.Female"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Chest_DM_F_NameOverride"", ""Loose Vest"")","(RowName="""")","/Game/Items/Armour/duskmage/dm_f_t1b_chest/dm_f_t1b_chest_bp.dm_f_t1b_chest_bp_C",""
Common_Global_1_Chest_DM_M,"(RowName=""Common_Global_1_Chest"")","(TagName=""Character.Player.DuskMage.Male"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Chest_DM_M_NameOverride"", ""Loose Vest"")","(RowName="""")","/Game/Items/Armour/duskmage/dm_m_t1b_chest/dm_m_t1b_chest_bp.dm_m_t1b_chest_bp_C",""
Common_Global_1_Chest_FG,"(RowName=""Common_Global_1_Chest"")","(TagName=""Character.Player.Forged"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Chest_FG_NameOverride"", ""Bulbous Chest"")","(RowName="""")","/Game/Items/Armour/forged/for_t2a_chest/for_t2a_chest_bp.for_t2a_chest_bp_C",""
Common_Global_1_Chest_RM_F,"(RowName=""Common_Global_1_Chest"")","(TagName=""Character.Player.Railman.Female"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Chest_RM_F_NameOverride"", ""Tattered Workshirt"")","(RowName=""StarterRM"")","/Game/Items/Armour/railman/rm_f_t1b_chest/rm_f_t1b_chest_bp.rm_f_t1b_chest_bp_C",""
Common_Global_1_Chest_RM_M,"(RowName=""Common_Global_1_Chest"")","(TagName=""Character.Player.Railman.Male"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Chest_RM_M_NameOverride"", ""Tattered Workshirt"")","(RowName=""StarterRM"")","/Game/Items/Armour/railman/rm_m_t1b_chest/rm_m_t1b_chest_bp.rm_m_t1b_chest_bp_C",""
Common_Global_1_Chest_SS_F,"(RowName=""Common_Global_1_Chest"")","(TagName=""Character.Player.Sharpshooter.Female"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Chest_SS_F_NameOverride"", ""Simple Vest"")","(RowName="""")","/Game/Items/Armour/sharpshooter/ss_f_t2b_chest/ss_f_t2b_chest_bp.ss_f_t2b_chest_bp_C",""
Common_Global_1_Chest_SS_M,"(RowName=""Common_Global_1_Chest"")","(TagName=""Character.Player.Sharpshooter.Male"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Chest_SS_M_NameOverride"", ""Simple Vest"")","(RowName="""")","/Game/Items/Armour/sharpshooter/ss_m_t2b_chest/ss_m_t2b_chest_bp.ss_m_t2b_chest_bp_C",""
Common_Global_1_Gloves_DM_F,"(RowName=""Common_Global_1_Gloves"")","(TagName=""Character.Player.DuskMage.Female"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Gloves_DM_F_NameOverride"", ""Soft Handwraps"")","(RowName="""")","/Game/Items/Armour/duskmage/dm_f_t1b_gloves/dm_f_t1b_gloves_bp.dm_f_t1b_gloves_bp_C",""
Common_Global_1_Gloves_DM_M,"(RowName=""Common_Global_1_Gloves"")","(TagName=""Character.Player.DuskMage.Male"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Gloves_DM_M_NameOverride"", ""Soft Handwraps"")","(RowName="""")","/Game/Items/Armour/duskmage/dm_m_t1b_gloves/dm_m_t1b_gloves_bp.dm_m_t1b_gloves_bp_C",""
Common_Global_1_Gloves_FG,"(RowName=""Common_Global_1_Gloves"")","(TagName=""Character.Player.Forged"")","NSLOCTEXT(""ItemWardrobeEntryTable"", ""Common_Global_1_Gloves_FG_NameOverride"", ""Armored Grips"")","(RowName="""")","/Game/Items/Armour/forged/for_t2a_gloves/for_t2a_gloves_bp.for_t2a_gloves_bp_C",""
