---,Speakers,Type,Text,Voiceover,ContextType1,ContextParam1,ContextType2,ContextParam2,ContextType3,ContextParam3,Weight,ContextEntries,bDefaultSet,Notes
TUT_Intro_Kenik,"((RowName=""Kenik_Intro""))","Modal","NSLOCTEXT(""DialogueTable"", ""FE3E99E8460C94A55C131B8518860356"", ""Well hello! You\'ve… uh, come at an awkward time. We\'ve got our hands full with the goblins. These goblin raiders hit us in the middle of the night and they\'re extra vicious. There\'s a noisy feisty goblin we\'re callin\' <span color=\""#FFD700\"">Yapper</> right outside our gates. We need yer help to defend the outpost!\r\n\r\nHead up there and clear those goblins out!"")","(AssetGuid=942BE1F6816947ABA2AA95FA61F4347B)","QuestActive","TUT_Intro:Task_TalkToKenik","None","None","None","None","1","","True","TUT_Intro"
TUT_Intro_KenikQuip1,"((RowName=""Kenik_Intro""))","Bubble","NSLOCTEXT(""DialogueTable"", ""28E3F60B466F7600D5E143A547D6E1D9"", ""Wha? No, I gotta stay here… to guard the ships."")","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","QuestActive","TUT_Intro:Task_GoToOutpostThreshold","QuestActive","TUT_Intro:Task_TriggerIntroThreshold","QuestActive","TUT_Intro:Task_KillGoblins","1","","True","TUT_Intro"
TUT_Intro_KenikQuip2,"((RowName=""Kenik_Intro""))","Bubble","NSLOCTEXT(""DialogueTable"", ""11A236574F5F636DAEF293954F7F4423"", ""You\'ve got this. I\'d help, but… my knee."")","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","QuestActive","TUT_Intro:Task_GoToOutpostThreshold","QuestActive","TUT_Intro:Task_TriggerIntroThreshold","QuestActive","TUT_Intro:Task_KillGoblins","1","","True","TUT_Intro"
TUT_Intro_KenikQuip3,"((RowName=""Kenik_Intro""))","Bubble","NSLOCTEXT(""DialogueTable"", ""8C3049754D7FD1B73C373187D3301862"", ""What, are ya chicken?"")","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","QuestActive","TUT_Intro:Task_GoToOutpostThreshold","QuestActive","TUT_Intro:Task_TriggerIntroThreshold","QuestActive","TUT_Intro:Task_KillGoblins","1","","True","TUT_Intro"
TUT_Intro_TurnIn,"((RowName=""GeneralGraye_Intro""))","Quest","NSLOCTEXT(""DialogueTable"", ""6E82FD92454D3E2E6C657180C8CADDBC"", ""Thanks for stepping in! The local goblins are growing increasingly bold. Ever since <span color=\""#FFD700\"">Wideload</> arrived, they’ve been getting the better of us out in the battlefields.\r\n\r\nBefore you face off with Wideload, you\'re going to need better equipment. These goblins play with fire, so you\'ll need to equip some <span color=\""#FFD700\"">fire resistant armor</> and additional <span color=\""#FFD700\"">weapon upgrades</>. \r\n\r\nTake this <span color=\""#FFD700\"">portal</> to your very own fort. Unfortunately, it\'s been completely overrun with goblins. Clear it out, and then look for me back here if you want some work."")","(AssetGuid=AC33C04C61DB48DB8EB6E1ED866B8046)","None","None","None","None","None","None","1","","True","TUT_Intro"
TUT_Intro_GeneralGrayeQuip1,"((RowName=""GeneralGraye_Intro""))","Modal","NSLOCTEXT(""DialogueTable"", ""5A59FDE44E2E0A8F079A72B5B9B09165"", ""I\'d better check that tougher gob. He doesn\'t seem quite dead…"")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","TUT_IntroFort:Task_GoToFortIntro","None","None","None","None","1","","True","TUT_Intro"
TUT_Intro_GeneralGrayeQuip2,"((RowName=""GeneralGraye_Intro""))","Modal","NSLOCTEXT(""DialogueTable"", ""313EA5414BE7EF5DBA39038EC6809451"", ""On behalf of the Empire, thanks again for your help."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","TUT_IntroFort:Task_GoToFortIntro","None","None","None","None","1","","True","TUT_Intro"
TUT_Intro_GeneralGrayeQuip3,"((RowName=""GeneralGraye_Intro""))","Modal","NSLOCTEXT(""DialogueTable"", ""49ECD40D4266C6A0FE123BBC856C99CD"", ""What are you waiting for? You going to claim your fort, or what?"")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","TUT_IntroFort:Task_GoToFortIntro","None","None","None","None","1","","True","TUT_Intro"
Default_WaypointGuard_Quip1,"((RowName=""WaypointGuard""))","Bubble","NSLOCTEXT(""DialogueTable"", ""26E364BB4DFA54A40F28B19AC80CFF8C"", ""I recommend activating this waypoint before you venture any further."")","(AssetGuid=DA29F1676A1E466ABEFA83B6E15340EA)","None","None","None","None","None","None","1","","True",""
GFQ_ClearDenOfEvil:Task_TurnIn,"((RowName=""GeneralGraye""))","Quest","NSLOCTEXT(""[70966B794DEC8B3A737F56A562119DA2]"", ""D8E760D744F6C316D38F9DB1C78C38AB"", ""Hey, hero. You were a big help defending the outpost from the goblins. We took the head raider captive and it turns out that he can actually talk. In fact, now that he\'s recovering, it\'s tough to get him to stop. He seems pretty eager to sell out the rest of his kind.\r\n\r\nYou must be here for the frontiers program. Well, we\'re serious about supporting you hero types. You make a home out here in the frontier and we\'ll be here for supplies and information.\r\n\r\nWe keep clearing out the caves of <span color=\""#FFD700\"">Trevail\'s Bluff</>, but they keep filling up with goblins. Perhaps you can do something about this."")","(AssetGuid=AC33C04C61DB48DB8EB6E1ED866B8046)","None","None","None","None","None","None","1","","True",""
