---,bShouldDrop,bShowInResources,bSavePerAccount,DisplayName,Description,IconText,PickUpUIDuration,Icon,Items,ValueMin,ValueMax,bAllowAddToAllCheat,Tag,QualityTags,TypeText,bUseItemFrame,PreviewActor,Notes
WoodLog_T1_Ash,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""1537DB7E4CD10B8167CFA9ACE0D58A6E"", ""Wood Log"")","NSLOCTEXT(""CurrencyTable"", ""C93F204045C54DDDC39368954D7C0DB1"", ""Harvested from various Trees."")","","5.000000","/Game/UI/Textures/CraftingIcons/Wood_T1_Ash_Log_icon.Wood_T1_Ash_Log_icon","((RowName=""Currency_WoodLog_T1_Ash_01""),(RowName=""Currency_WoodLog_T1_Ash_05""),(RowName=""Currency_WoodLog_T1_Ash_10""),(RowName=""Currency_WoodLog_T1_Ash_25""),(RowName=""Currency_WoodLog_T1_Ash_100""))","0.000000","0.000000","True","(TagName="""")","(GameplayTags=)","","False","None",""
WoodLog_T1_Birch,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""A29259BD4D0FF4C9277884AD7C9156D5"", ""Birch Log"")","NSLOCTEXT(""CurrencyTable"", ""E067C2BB437F5BFE742F2BAA4142F183"", ""Harvested from Birch Trees in the Voltura frontier."")","","5.000000","/Game/UI/Textures/CraftingIcons/Wood_T1_Ash_Log_icon.Wood_T1_Ash_Log_icon","((RowName=""Currency_WoodLog_T1_Birch_01""),(RowName=""Currency_WoodLog_T1_Birch_05""),(RowName=""Currency_WoodLog_T1_Birch_10""),(RowName=""Currency_WoodLog_T1_Birch_25""),(RowName=""Currency_WoodLog_T1_Birch_100""))","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None",""
WoodPlank_T1_Ash,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""F3F8001C4F4A2F564D664280EA69ABCF"", ""Wood Plank "")","NSLOCTEXT(""CurrencyTable"", ""BB6C7E8348062158FD0E8BA00E920642"", ""Refined from Wood Logs at a Sawmill."")","","5.000000","/Game/UI/Textures/CraftingIcons/Wood_T1_Ash_Plank_icon.Wood_T1_Ash_Plank_icon","((RowName=""Currency_WoodPlank_T1_Ash_01""),(RowName=""Currency_WoodPlank_T1_Ash_05""),(RowName=""Currency_WoodPlank_T1_Ash_10""),(RowName=""Currency_WoodPlank_T1_Ash_25""),(RowName=""Currency_WoodPlank_T1_Ash_100""))","0.000000","0.000000","True","(TagName="""")","(GameplayTags=)","","False","None",""
WoodPlank_T1_Birch,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""4A157DF247C205894747F9893D4917E6"", ""Birch Plank"")","NSLOCTEXT(""CurrencyTable"", ""E94658034DDA12527C2077867B104071"", ""Refined from Birch Logs at a Sawmill."")","","5.000000","/Game/UI/Textures/CraftingIcons/Wood_T1_Ash_Plank_icon.Wood_T1_Ash_Plank_icon","((RowName=""Currency_WoodPlank_T1_Birch_01""),(RowName=""Currency_WoodPlank_T1_Birch_05""),(RowName=""Currency_WoodPlank_T1_Birch_10""),(RowName=""Currency_WoodPlank_T1_Birch_25""),(RowName=""Currency_WoodPlank_T1_Birch_100""))","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None",""
MetalNugget_T1_Tin,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""2A68045C405763361711F9B5AF6C2159"", ""Metal Nugget "")","NSLOCTEXT(""CurrencyTable"", ""ED7B482C4E3A2E753306F1815EC78B47"", ""Mined from various Veins."")","","5.000000","/Game/UI/Textures/CraftingIcons/Metal_T1_Tin_Nugget_icon.Metal_T1_Tin_Nugget_icon","((RowName=""Currency_MetalNugget_T1_Tin_01""),(RowName=""Currency_MetalNugget_T1_Tin_05""),(RowName=""Currency_MetalNugget_T1_Tin_10""),(RowName=""Currency_MetalNugget_T1_Tin_25""),(RowName=""Currency_MetalNugget_T1_Tin_100""))","0.000000","0.000000","True","(TagName="""")","(GameplayTags=)","","False","None",""
MetalNugget_T1_Copper,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""B1C2CF8A4B221A95B2366593EC71A3EC"", ""Copper Nugget"")","NSLOCTEXT(""CurrencyTable"", ""4B10FE8C4D9291C8C79F41AE8DAEFD96"", ""Mined from Copper Veins in the Voltura frontier."")","","5.000000","/Game/UI/Textures/CraftingIcons/Metal_T1_Tin_Nugget_icon.Metal_T1_Tin_Nugget_icon","((RowName=""Currency_MetalNugget_T1_Copper_01""),(RowName=""Currency_MetalNugget_T1_Copper_05""),(RowName=""Currency_MetalNugget_T1_Copper_10""),(RowName=""Currency_MetalNugget_T1_Copper_25""),(RowName=""Currency_MetalNugget_T1_Copper_100""))","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None",""
MetalBar_T1_Tin,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""28B892ED4DD888ACA7716EBEC0C3C4BF"", ""Metal Bar"")","NSLOCTEXT(""CurrencyTable"", ""C6AE701348C87FD21A9D77B25B435C87"", ""Refined from Metal Nuggets at a Smelter."")","","5.000000","/Game/UI/Textures/CraftingIcons/Metal_T1_Tin_Bar_icon.Metal_T1_Tin_Bar_icon","((RowName=""Currency_MetalBar_T1_Tin_01""),(RowName=""Currency_MetalBar_T1_Tin_05""),(RowName=""Currency_MetalBar_T1_Tin_10""),(RowName=""Currency_MetalBar_T1_Tin_25""),(RowName=""Currency_MetalBar_T1_Tin_100""))","0.000000","0.000000","True","(TagName="""")","(GameplayTags=)","","False","None",""
MetalBar_T1_Copper,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""71109FB4469A131D3A2B919E150FF86A"", ""Copper Bar"")","NSLOCTEXT(""CurrencyTable"", ""97B98F8447DEE876C1238C8BAFF620D0"", ""Refined from Copper Nuggets at a Smelter."")","","5.000000","/Game/UI/Textures/CraftingIcons/Metal_T1_Tin_Bar_icon.Metal_T1_Tin_Bar_icon","((RowName=""Currency_MetalBar_T1_Copper_01""),(RowName=""Currency_MetalBar_T1_Copper_05""),(RowName=""Currency_MetalBar_T1_Copper_10""),(RowName=""Currency_MetalBar_T1_Copper_25""),(RowName=""Currency_MetalBar_T1_Copper_100""))","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None",""
StoneRock_T1_Sandstone,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""D78C3F61495DCFD941BB14B104736BC1"", ""Stone Rock"")","NSLOCTEXT(""CurrencyTable"", ""507B9A8C49DE9C734A08B5B25DF1F16D"", ""Mined from various Boulders."")","","5.000000","/Game/UI/Textures/CraftingIcons/Stone_T1_Sandstone_Rock_icon.Stone_T1_Sandstone_Rock_icon","((RowName=""Currency_StoneRock_T1_Sandstone_01""),(RowName=""Currency_StoneRock_T1_Sandstone_05""),(RowName=""Currency_StoneRock_T1_Sandstone_10""),(RowName=""Currency_StoneRock_T1_Sandstone_25""),(RowName=""Currency_StoneRock_T1_Sandstone_100""))","0.000000","0.000000","True","(TagName="""")","(GameplayTags=)","","False","None",""
StoneRock_T1_Flint,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""CAD370614C3BAAA9E702D091ABEE7F0A"", ""Flint Rock"")","NSLOCTEXT(""CurrencyTable"", ""281684E649D5292C593A65B651191EE6"", ""Mined from Flint Boulders in the Voltura frontier."")","","5.000000","/Game/UI/Textures/CraftingIcons/Stone_T1_Sandstone_Rock_icon.Stone_T1_Sandstone_Rock_icon","((RowName=""Currency_StoneRock_T1_Flint_01""),(RowName=""Currency_StoneRock_T1_Flint_05""),(RowName=""Currency_StoneRock_T1_Flint_10""),(RowName=""Currency_StoneRock_T1_Flint_25""),(RowName=""Currency_StoneRock_T1_Flint_100""))","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None",""
