---,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Normal,9333,9333,9161,8988,8816,8667,8517,8367,8216,8066,7939,7812,7684,7557,7429,7325,7220,7115,7011,6906,6824,6742,6667,6591,6515,6463,6411,6359,6307,6255,6226,6198,6169,6141,6112,6108,6103,6098,6093,6088,6088,6088,6088,6087,6087,6087,6087,6089,6090,6092,6093,6095,6096,6098,6099,6101,6102,6104,6105,6107,6108
Magic,500,500,670,840,1010,1156,1303,1449,1596,1742,1865,1988,2111,2233,2356,2455,2555,2654,2753,2852,2928,3004,3079,3155,3231,3283,3335,3387,3439,3491,3520,3548,3577,3605,3634,3638,3643,3648,3653,3658,3658,3658,3658,3659,3659,3659,3659,3659,3659,3659,3659,3659,3659,3660,3660,3660,3660,3660,3660,3660,3660
Rare,133,133,135,138,140,143,146,150,154,158,162,166,171,176,181,186,191,197,202,208,214,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
Legendary,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,32,31,29,28,26,24,23,21,20,18,16,15,13,12
Legendary_Hard,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,32,31,29,28,26,24,23,21,20,18,16,15,13,12
Legendary_Painful,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,32,31,29,28,26,24,23,21,20,18,16,15,13,12
Legendary_Ridiculous,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,32,31,29,28,26,24,23,21,20,18,16,15,13,12
MagicMin_Magic,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
MagicMin_Rare,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MagicMin_Legendary,31,31,32,32,33,33,34,34,34,34,34,34,34,34,34,34,34,33,31,30,28,27,28,30,31,33,34,34,34,34,34,34,33,32,31,31,30,30,30,30,30,30,30,29,29,29,28,26,25,24,23,21,19,18,17,16,14,13,13,12,11
MagicMin_Legendary_Hard,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,32,31,29,28,26,24,23,21,20,18,16,15,13,12
MagicMin_Legendary_Painful,13,13,14,15,16,16,17,17,17,17,17,16,17,18,18,19,20,20,21,22,23,24,23,22,21,19,18,18,17,17,17,16,16,15,15,14,14,14,14,14,14,13,14,14,15,15,17,16,16,15,14,13,12,12,11,10,9,8,8,7,6
MagicMin_Legendary_Ridiculous,13,13,14,15,16,16,17,18,18,18,18,19,19,18,18,18,18,17,16,15,15,14,14,15,15,16,17,17,17,17,17,17,16,16,15,14,13,13,13,13,13,13,13,14,14,15,17,16,16,15,14,13,12,12,11,10,9,8,8,7,6
