---,QuestRewardText,QuestRewardIconGameplayTag,RequiredPlayerGameplayTags,QuestObjectFilter,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
NoLoot,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","0","0","False","False","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Popcorn,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterCurrency","1","RemoveStemGameplayTagAll","Currency.Monster","1","GotoItemSpawnRow","Popcorn_Normal","1","GotoItemSpawnRow","Popcorn_Luck_Gear","1","GotoItemSpawnRow","Popcorn_Luck_Potion","1","GotoItemSpawnRow","Popcorn_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Popcorn_Woody,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterWood_Chance","1","GotoItemSpawnRow","Popcorn","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MonsterWood_Chance,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","5","0","False","False","GotoItemSpawnRow","Clickable_T1_Ash_Bonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Popcorn_Stony,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterStone_Chance","1","GotoItemSpawnRow","Popcorn","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MonsterStone_Chance,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","5","0","False","False","GotoItemSpawnRow","Clickable_T1_Sandstone_Bonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Popcorn_Normal,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","95","0","False","False","GotoItemSpawnRow","PickLoot_Popcorn","5","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Popcorn_Luck_Gear,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Popcorn_NoGear;Popcorn_Gear-Item.Gear","(None,None)",""
Popcorn_Luck_Potion,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Popcorn_NoPotion;Popcorn_Potion-Item.Potion","(None,None)",""
Popcorn_Luck_Gold,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Popcorn_NoGold;Popcorn_Gold-Item.Currency.Gold","(None,None)",""
Standard,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterCurrency","1","RemoveStemGameplayTagAll","Currency.Monster","1","GotoItemSpawnRow","Standard_Normal","1","GotoItemSpawnRow","Standard_Luck_Gear","1","GotoItemSpawnRow","Standard_Luck_Potion","1","GotoItemSpawnRow","Standard_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Standard_Metaly,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterMetal_Chance","1","GotoItemSpawnRow","Standard","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MonsterMetal_Chance,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","5","0","False","False","GotoItemSpawnRow","Clickable_T1_Tin_Bonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Standard_Normal,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","85","0","False","False","GotoItemSpawnRow","PickLoot","15","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Standard_Luck_Gear,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Standard_NoGear;Standard_Gear-Item.Gear","(None,None)",""
Standard_Luck_Potion,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Standard_NoPotion;Standard_Potion-Item.Potion","(None,None)",""
Standard_Luck_Gold,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Standard_NoGold;Standard_Gold-Item.Currency.Gold","(None,None)",""
Tough,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterCurrency","1","RemoveStemGameplayTagAll","Currency.Monster","1","GotoItemSpawnRow","Tough_Normal","1","GotoItemSpawnRow","Tough_Luck_Gear","1","GotoItemSpawnRow","Tough_Luck_Potion","1","GotoItemSpawnRow","Tough_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Tough_Woody,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterWood_Chance","1","GotoItemSpawnRow","Tough","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Tough_Metaly,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","GotoItemSpawnRow","MonsterMetal_Chance","1","GotoItemSpawnRow","Tough","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Tough_Normal,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","75","0","False","False","GotoItemSpawnRow","PickLoot_Tough","25","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
