---,MinLevel,MaxLevel,DropWeight,MaxCount,TextFormat,ItemTextFormat,bAlwaysShowAffixName,bIsPrimaryAffix,TraitType,AffixTags,ElementTag,AffixCurveValue1,AffixCurveValue2,AffixCurveValue3,AffixCurveValue4,AffixCurveValue5,AffixCurveValue6,TraitString,Normal,Magic,Rare,Legendary,Unique,EnchantingMagicMultipliers,EnchantingRareMultipliers,EnchantingLegendaryMultipliers,LifeboundMultiplier,bRound,TextOnDrop,Notes
AlwaysCritFrozenEnemies,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""E66552FE48A9DDECDB95F7A66AF5AC88"", ""Always Critically Hit Frozen enemies."")","","False","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Weapon.Global""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch"")))","(TagName="""")","Ones","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Frozen","","","","","","","","","1.200000","False","","Legendary Secondary"
AttackSpeedBonus,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""8A22EBC04B8724CFACC513BEFCC053E9"", ""+{0%}% Attack Speed for Basic Attacks"")","NSLOCTEXT(""AffixTable"", ""AttackSpeedBonus_ItemTextFormat"", ""{0} of Deftness"")","True","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Armour.AmmoBag"")))","(TagName="""")","AttackSpeed","None","None","None","None","None","AttackSpeedBonusMult|Skill.Weapon",".3-.5",".6-.72",".7-.85",".9-1.1","","","","","1.200000","False","",""
Block,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""EBA0D6284139AB8C3CDC668ED7EFCD91"", ""{0%}% chance to Block"")","","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Block""),(TagName=""Item.Pet.Collar"")))","(TagName="""")","BlockChance","None","None","None","None","None","BlockChance","4-5","4.8-5.8","5.6-6.6","6.4-7.2","","","","","1.200000","False","",""
Block_Strong,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""EBA0D6284139AB8C3CDC668ED7EFCD91"", ""{0%}% chance to Block"")","","False","True","Default","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Block""),(TagName=""Affix.Block.Strong"")))","(TagName="""")","BlockChance","None","None","None","None","None","BlockChance","5-6.25","6-7.25","8.4-9.9","9.6-10.8","","","","","1.200000","False","",""
Block_Secondary,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""0838E6BC43B4350983BD518895C2243E"", ""+{0%}% chance to Block"")","NSLOCTEXT(""AffixTable"", ""Block_Secondary_ItemTextFormat"", ""{0} of Deflecting"")","True","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.Shield""),(TagName=""Affix.Block""),(TagName=""Item.Pet.Collar"")))","(TagName="""")","BlockChance","None","None","None","None","None","BlockChance","1-1.75","1.5-2.25","2-3.5","3.25-4.75","","","","","1.200000","False","",""
CriticalHit_Bonus,"1.000000","100.000000","200","0","NSLOCTEXT(""AffixTable"", ""6FC68E1947308CB3DCB3A397A5E7DD41"", ""+{0%}% bonus to Critical Damage"")","NSLOCTEXT(""AffixTable"", ""96800F7C485D2EDBE0DD118179AC8151"", ""{0} of Power"")","True","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Weapon.Cannon"")))","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonus","","1-1.6","1.37-2.35","2.05-3","","","","","1.200000","False","",""
CriticalHit_Bonus_Armor,"1.000000","100.000000","200","0","NSLOCTEXT(""AffixTable"", ""6FC68E1947308CB3DCB3A397A5E7DD41"", ""+{0%}% bonus to Critical Damage"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Chest""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Armour.AmmoBag""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonus","","0.4-0.9","0.75-1.2","1-1.5","","","","","1.200000","False","",""
CriticalHit_Chance,"1.000000","100.000000","200","0","NSLOCTEXT(""AffixTable"", ""2B9A08134E3C6C262B6798808DD06676"", ""+{0%}% Critical Hit chance"")","NSLOCTEXT(""AffixTable"", ""81AC2FC1403D4D130C0D27A5F45E84A7"", ""{0} of Precision"")","True","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Weapon.Cannon"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChance",".6-1","1.2-2.25","2.05-2.5","2.35-3.2","","","","","1.200000","False","",""
CriticalHit_Chance_Armor,"1.000000","100.000000","200","0","NSLOCTEXT(""AffixTable"", ""2B9A08134E3C6C262B6798808DD06676"", ""+{0%}% Critical Hit chance"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Armour.Helm""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Armour.AmmoBag""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChance","","0.5-1","0.8-1.4","1.2-1.6","","","","","1.200000","False","",""
CriticalHit_Chance_vsBleed,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""6F846EA6498D1B6773AEF3B7E2FB3318"", ""+{0%}% Critical Hit chance vs. Bleeding targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Bleed","","2-3.5","3-4.5","4.0-6.0","","","","","1.200000","False","","Legendary Secondary"
