---,TriggerType,TriggerEvent,TagFilter,SkillTagFilter,RequiredStatusEffectTags,EventNameParam,Trait,AccumulateRandomChance,TriggerSkill,CooldownTimeSeconds,bMinionsCanTrigger,Notes
AttackSpeedOnBlock,Always,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|AttackSpeedOnBlock,0,/Game/Skills/Blueprints/EmberWeapons/ProcSkill_SpeedOnBlock.ProcSkill_SpeedOnBlock_C,0,TRUE,
BlindOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|BlindOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_BlindOnBlock.ProcSkill_BlindOnBlock_C,0,TRUE,
ChillOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|ChillOnBlock,0,/Game/Skills/Blueprints/Elements/ProcSkill_ChillOnBlock.ProcSkill_ChillOnBlock_C,0,TRUE,
FearOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|FearOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_FearOnBlock.ProcSkill_FearOnBlock_C,0,TRUE,
AutoVent,Always,ActiveTraitAtMax,(GameplayTags=),(GameplayTags=),(GameplayTags=),ForgedHeat,AutoVentProc,0,/Game/Skills/Blueprints/Forged/Skill_Forged_VentTrail.Skill_Forged_VentTrail_C,4,TRUE,
Bleed,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ElementalProcChance|Proc.Bleed,0,/Game/Skills/Blueprints/Elements/ProcSkill_Bleed.ProcSkill_Bleed_C,0,TRUE,
Blind,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ElementalProcChance|Proc.Blind,0,/Game/Skills/Blueprints/Procs/ProcSkill_Blind.ProcSkill_Blind_C,0,TRUE,
Burn,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ElementalProcChance|Proc.Burn,0,/Game/Skills/Blueprints/Elements/ProcSkill_Burn.ProcSkill_Burn_C,0,TRUE,
BurningExploding,Random,SkillDamage,(GameplayTags=),(GameplayTags=),"(GameplayTags=((TagName=""StatusEffect.Burn"")))",None,ProcChance|BurningExploding,0,/Game/Skills/Blueprints/EmberWeapons/Skill_Passive_BurningExploding.Skill_Passive_BurningExploding_C,1,TRUE,
Chill,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ElementalProcChance|Proc.Chill,0,/Game/Skills/Blueprints/Elements/ProcSkill_Chill.ProcSkill_Chill_C,0,TRUE,
DamageOnBlock,Always,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|AttackSpeedOnBlock,0,/Game/Skills/Blueprints/GenericPassives/ProcSkill_DamageOnBlock.ProcSkill_DamageOnBlock_C,0,TRUE,
DarkChargeBar,Always,SkillDamage,(GameplayTags=),"(GameplayTags=((TagName=""Skill.DuskMage.Light"")))",(GameplayTags=),None,None,0,/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarProc_Dark.Skill_ChargeBarProc_Dark_C,0,TRUE,
DarkChargeBarLock,Always,ActiveTraitAtMax,(GameplayTags=),(GameplayTags=),(GameplayTags=),DarkChargeBar,DarkChargeBarProc,0,/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarLock_DMDark.Skill_ChargeBarLock_DMDark_C,0,TRUE,
DarkChargeBarSkillStart,Always,SkillStart,(GameplayTags=),"(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))",(GameplayTags=),None,None,0,/Game/Skills/Blueprints/DuskMage/Skill_ChargeStart_DMDark.Skill_ChargeStart_DMDark_C,0,TRUE,
EmberWeaponCharged,Always,ActiveTraitAtMax,(GameplayTags=),(GameplayTags=),(GameplayTags=),EmberWeaponCharge,EmberWeaponChargeProc,0,/Game/Skills/Blueprints/EmberWeapons/ProcSkill_EmberWeaponCharged.ProcSkill_EmberWeaponCharged_C,0,TRUE,
EmberWeaponDrainBonus,Always,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,EmberWeaponDrainBonus,0,/Game/Skills/Blueprints/EmberWeapons/ProcSkill_EmberWeaponDrainBonus.ProcSkill_EmberWeaponDrainBonus_C,1,TRUE,
Fear,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ElementalProcChance|Proc.Fear,0,/Game/Skills/Blueprints/Procs/ProcSkill_Fear.ProcSkill_Fear_C,0,TRUE,
Freeze,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ElementalProcChance|Proc.Freeze,0,/Game/Skills/Blueprints/Elements/ProcSkill_Freeze.ProcSkill_Freeze_C,0,TRUE,
FreezeWhenHit,Random,TakeDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|FreezeWhenHit,0,/Game/Skills/Blueprints/Elements/ProcSkill_FreezeWhenHit.ProcSkill_FreezeWhenHit_C,0,TRUE,
GhostSummon,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|GhostSummon,0,/Game/Skills/Blueprints/EmberWeapons/Skill_Passive_SummonGhostsSummon.Skill_Passive_SummonGhostsSummon_C,0,TRUE,
HarvestWood,Accumulated,TakeDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,HarvestingProc,0,/Game/Skills/Blueprints/Harvesting/ProcSkill_HarvestWood.ProcSkill_HarvestWood_C,0,TRUE,
HealthBall,AccumulatedRandom,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,HealthBallProc,0.3,/Game/Skills/Blueprints/Procs/ProcSkill_HealthBall.ProcSkill_HealthBall_C,0,TRUE,
Icicle,Random,TakeDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|Icicle,0,/Game/Skills/Blueprints/EmberWeapons/Coldheart/ProcSkill_Icicle.ProcSkill_Icicle_C,0,TRUE,
