---,Speakers,Type,TitleText,Text,ButtonText,Voiceover,ContextType1,ContextParam1,ContextType2,ContextParam2,ContextType3,ContextParam3,IconPortraitTag,Tags,Weight,ContextEntries,bDefaultSet,Notes
A1C1Q0_Task_InteractKenik,"((RowName=""Kenik_Intro""))","Quest","","NSLOCTEXT(""DialogueTable"", ""A1C1Q0_Task_InteractKenik_Text"", ""What are you doin\', rookie? Don\'t just stand there, the fort is under attack! The goblin chieftain Wideload sent his flunky, Yapper, to raid the outpost! He\'s gonna break through the gate any moment now! Get up there and lend a hand, I\'ll catch up!"")","","(AssetGuid=942BE1F6816947ABA2AA95FA61F4347B)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
A1C1Q0_KenikQuip1,"((RowName=""Kenik_Intro""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""28E3F60B466F7600D5E143A547D6E1D9"", ""Wha? No, I gotta stay here… to guard the ships."")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","QuestActive","A1C1Q0:Task_GoToOutpostThreshold","QuestActive","A1C1Q0:Task_TriggerIntroThreshold","QuestActive","A1C1Q0:Task_KillGoblins","(TagName="""")","(GameplayTags=)","1","","True",""
A1C1Q0_KenikQuip2,"((RowName=""Kenik_Intro""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""11A236574F5F636DAEF293954F7F4423"", ""You\'ve got this. I\'d help, but… my knee."")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","QuestActive","A1C1Q0:Task_GoToOutpostThreshold","QuestActive","A1C1Q0:Task_TriggerIntroThreshold","QuestActive","A1C1Q0:Task_KillGoblins","(TagName="""")","(GameplayTags=)","1","","True",""
A1C1Q0_KenikQuip3,"((RowName=""Kenik_Intro""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""8C3049754D7FD1B73C373187D3301862"", ""What, are ya chicken?"")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","QuestActive","A1C1Q0:Task_GoToOutpostThreshold","QuestActive","A1C1Q0:Task_TriggerIntroThreshold","QuestActive","A1C1Q0:Task_KillGoblins","(TagName="""")","(GameplayTags=)","1","","True",""
A1C1Q0_Task_TurnInGraye,"((RowName=""GeneralGraye_Intro""))","Quest","","NSLOCTEXT(""DialogueTable"", ""A1C1Q0_Task_TurnInGraye_Text"", ""Thanks for your help, recruit, we couldn\'t have defeated Yapper without you. After years of peace, why attack now? No matter, answers can wait. The wounded need help and the dead need peace. I need you to take the fallen soldiers\' swords to Heroes\' Rest and lay them upon the altars. Hurry back once you\'re finished, we’re just getting started."")","","(AssetGuid=AC33C04C61DB48DB8EB6E1ED866B8046)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
A1C1Q0_Modal_GeneralGrayeQuip1,"((RowName=""GeneralGraye_Intro""))","Modal","","NSLOCTEXT(""DialogueTable"", ""5A59FDE44E2E0A8F079A72B5B9B09165"", ""I\'d better check that tougher gob. He doesn\'t seem quite dead…"")","","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","A1C1Q0:Task_FindExit","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
A1C1Q0_Modal_GeneralGrayeQuip2,"((RowName=""GeneralGraye_Intro""))","Modal","","NSLOCTEXT(""DialogueTable"", ""313EA5414BE7EF5DBA39038EC6809451"", ""On behalf of the Empire, thanks again for your help."")","","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","A1C1Q0:Task_FindExit","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
A1C1Q0_Modal_Kenik,"((RowName=""Kenik_Intro""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C1Q0_Modal_Kenik_Text"", ""I WOULD have helped in the battle, but I’d kick myself for spilling any of this Mad Jackal Ale. It’s hard to come by out here, y’know?"")","","(AssetGuid=942BE1F6816947ABA2AA95FA61F4347B)","QuestActive","A1C1Q0:Task_FindExit","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
IO_Modal_ThanesSnow_01,"((RowName=""ThanesSnow""))","Modal","","NSLOCTEXT(""DialogueTable"", ""17AFE321403FF4DEFB29EFB9F20542DB"", ""Me? Skittish? You would be too, if you\'ve been where I\'ve been. General Graye needs your help in the goblin frontier before you can help us with the Hyvid infestation. One problem at a time, right?"")","","(AssetGuid=BA6EA02EE9F94B8C8C05675A7FA5DA8A)","QuestComplete","A1C1Q0","None","None","None","None","(TagName="""")","(GameplayTags=)","2","","True",""
A1C1Q1_Modal_Yapper,"((RowName=""Yapper""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C1Q1_Modal_Yapper_Text"", ""Captured by humans! Humiliating! Chief Wideload will crush Yapper!"")","","(AssetGuid=A65C4E079FE1488D920FFE6307F748B0)","QuestComplete","A1C1Q0","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
