---,DisplayName,CompletableTasks,OfferedQuests,ActivatingTasks,ActivatingCompletedTasks,DeactivatingTasks,DeactivatingCompletedTasks,bAlwaysActive,bMapMarkerIsArea,AreaSize,Notes
Chest_Quest,"NSLOCTEXT(""QuestObjectTable"", ""503539A143DB1111C4A0728981AC0EA1"", ""Quest Chest"")","","","","","","","False","False","0.000000",""
GoblinWeaponRack,"NSLOCTEXT(""QuestObjectTable"", ""4728759D4E2553B071669B93F4CA723C"", ""Weapon Rack"")","","","","","","","False","False","0.000000",""
CompetitivePortal,"NSLOCTEXT(""QuestObjectTable"", ""B59E0BF14B43FDBF236B88BD6739CAC3"", ""Slime Arena Entrance"")","","","","","(""Quest_Experiment1:Task_Timer"")","","False","False","0.000000",""
Bandit,"NSLOCTEXT(""QuestObjectTable"", ""D05E96444587F524681B0B93DA14DE4C"", ""Bandit"")","","","","","","","True","False","0.000000",""
GatekeeperGF1,"NSLOCTEXT(""QuestObjectTable"", ""6493E5DB4F9256EBE8C92ABC7F2960B9"", ""Lt. Riksa"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf1_bp"
GatekeeperGF2,"NSLOCTEXT(""QuestObjectTable"", ""4D38632E4865850105C4D1A18D50EB32"", ""Sgt. Frax"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf2_bp"
GatekeeperGF3,"NSLOCTEXT(""QuestObjectTable"", ""8BF4F5AC4D2D7DDEB562118810657CB8"", ""Lt. Klef"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf3_bp"
GatekeeperGF4,"NSLOCTEXT(""QuestObjectTable"", ""09FF92874E23E72EA0DA39887AC83A15"", ""Lt. Wilfur"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf4_bp"
GatekeeperGF5,"NSLOCTEXT(""QuestObjectTable"", ""66B728E64FB9913C68BD8EBA80777E80"", ""Sgt. Somberg"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf5_bp"
GatekeeperIF1_NoCollide,"NSLOCTEXT(""QuestObjectTable"", ""E7094D0346CA7DBBA06D81A36C70B88E"", ""Imperial Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if1_nocollide_bp"
GatekeeperIF2_NoCollide,"NSLOCTEXT(""QuestObjectTable"", ""E0F6FD1E4D7364DBF12696A6F782EA9A"", ""Bugswat Pass Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if2_nocollide_bp"
GeneralGraye,"NSLOCTEXT(""QuestObjectTable"", ""D40BDBBE4082E73187277BAD815436B8"", ""General Graye"")","(""A3C4Q2:Task_InteractGraye"",""A1C1Q2:Task_InteractGraye"",""A1C1Q2:Task_TalktoGraye"",""A1C2Q2:Task_InteractGraye"",""A1C4Q1:Task_InteractGraye"",""A1C4Q1:Task_TurnInGraye"",""A1C5Q1:Task_TurnInGraye"",""TQ_FortIntro:Task_TalkToGraye"",""TQ_FortProps:Task_InteractGraye"",""A1C5Q3:Task_TalktoGraye"")","","","","","","True","False","0.000000",""
GeneralGraye_DenOfEvil,"NSLOCTEXT(""QuestObjectTable"", ""18189D5E449B0AA6974ABDABE9BCDC2E"", ""General Graye"")","","","","","","","False","False","0.000000",""
GobBaitBucket,"NSLOCTEXT(""QuestObjectTable"", ""B01D540547933071A14BD9B76C66FF27"", ""Goblin Bait Bucket"")","","","","","","","False","False","0.000000",""
GobBanner_HarassGoblins,"NSLOCTEXT(""QuestObjectTable"", ""21FAA3AD484F9E62604EFAA623179123"", ""Goblin Banner"")","","","","","","","False","False","0.000000",""
GobBarricade_KillGoblinBarricade,"NSLOCTEXT(""QuestObjectTable"", ""ECFB8FC44C660A1F381F41856AC60268"", ""Barricade"")","","","","","","","False","False","0.000000",""
Warp_GF7_Forest2_boss,"NSLOCTEXT(""QuestObjectTable"", ""FF56D6EF40D20737A186EFA6371D41A7"", ""Exit to Dead\'s End"")","","","","","","","False","False","0.000000",""
