---,AffixText,bRequiresAreas,RowType,NoPickWeight,EntryType1,Entry1,WeightOrCount1,RequireQuest1,EntryType2,Entry2,WeightOrCount2,RequireQuest2,EntryType3,Entry3,WeightOrCount3,RequireQuest3,EntryType4,Entry4,WeightOrCount4,RequireQuest4,EntryType5,Entry5,WeightOrCount5,RequireQuest5,EntryType6,Entry6,WeightOrCount6,RequireQuest6,EntryType7,Entry7,WeightOrCount7,RequireQuest7,EntryType8,Entry8,WeightOrCount8,RequireQuest8,DataCurves,Weight,OwnedGameplayTags,DungeonRequireAllTags,DungeonRequireAnyTags,DungeonExcludeAnyTags,Entries,Notes
ExampleProperties,"","False","All","0","SetProperty","bReviveInTown|true","1","","SetProperty","AreaGroup|MapWorks","1","","SetProperty","MonsterLevelDelta|3","1","","SetGameplayTag","SpokeTag|Region.GoblinIsle.GoblinForest","1","","SetGameplayTagContainer","ThemedPropTags|Theme.None","1","","SetProperty","BossMonsters|((RowName=""Goblin_Brute_Story_Boss""))","1","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_Global,"","False","Pick","0","GotoRow","MapWorksDungeon_GoblinForest","1","","GotoRow","MapWorksDungeon_InfestedForest","1","","GotoRow","MapWorksDungeon_EchonokMountains","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_GoblinForest,"","False","Pick","0","GotoRow","Wideload","1","","GotoRow","Witch","1","","GotoRow","Kronch","1","","GotoRow","Strongtusk","1","","GotoRow","Dogjockey","1","","GotoRow","Brall","1","A1C5Q3","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_InfestedForest,"","False","Pick","0","GotoRow","Krronk","1","","GotoRow","Psora","1","","GotoRow","Syzygyx","1","","GotoRow","Spinderella","1","","GotoRow","Sadista","1","A2C5Q2","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_EchonokMountains,"","False","Pick","0","GotoRow","Thunderthighs","1","","GotoRow","Overcharger","1","","GotoRow","Squawkclaw","1","","GotoRow","Shriekbeak","1","","GotoRow","Hexx","1","","GotoRow","Ordrak","1","A3C4Q2","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None)",""
PhaseDungeon,"","False","Pick","0","GotoRow","PhaseDungeon_Act1","1","","GotoRow","PhaseDungeon_Act2","1","","GotoRow","PhaseDungeon_Act3","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
PhaseDungeon_Act1,"NSLOCTEXT(""MapWorksTable"", ""9C48340246574BECE3C8DD848EC93BF2"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","False","Pick","0","GotoRow","Wideload_Phased","1","","GotoRow","Strongtusk_Phased","1","","GotoRow","Brall_Phased","1","A1C5Q3","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Wideload_Phased,"","False","All","0","AddAreaChain","GF2_Caves2a_boss_gc3","1","","GotoRow","SharedChanges_Phase","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Strongtusk_Phased,"","False","All","0","AddAreaChain","GF5_Forest1b_boss_gc3","1","","GotoRow","SharedChanges_Phase","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Brall_Phased,"","False","All","0","AddAreaChain","GF5_Cave1a_boss_gc1","1","","GotoRow","SharedChanges_Phase","1","","GotoRow","DisableBossArenaExit","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
PhaseDungeon_Act2,"NSLOCTEXT(""MapWorksTable"", ""9F55ED53420E21BF7A71E0949E0E497A"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","False","Pick","0","GotoRow","Psora_Phased","1","","GotoRow","Krronk_Phased","1","","GotoRow","Sadista_Phased","1","A2C5Q2","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Psora_Phased,"","False","All","0","AddAreaChain","IF2_Forest2_boss","1","","GotoRow","SharedChanges_Phase","1","","GotoRow","DisableBossArenaExit","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Krronk_Phased,"","False","All","0","AddAreaChain","IF4_Caves2_boss","1","","GotoRow","SharedChanges_Phase","1","","GotoRow","DisableBossArenaExit","1","","SetProperty","BossMonsters|((RowName=""VespidCharger_Story_Boss_Mapworks""))","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Sadista_Phased,"","False","All","0","AddAreaChain","IF5_Caves2a","1","","GotoRow","SharedChanges_Phase","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
PhaseDungeon_Act3,"NSLOCTEXT(""MapWorksTable"", ""454475F94A4DE07D36ED24A84233C1BE"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","False","Pick","0","GotoRow","Squawkclaw_Phased","1","","GotoRow","Shriekbeak_Phased","1","","GotoRow","Ordrak_Phased","1","A3C4Q2","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Squawkclaw_Phased,"","False","All","0","AddAreaChain","EM2_Exterior1a_boss","1","","GotoRow","SharedChanges_Phase","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Shriekbeak_Phased,"","False","All","0","AddAreaChain","Em3_Exterior2a_boss","1","","GotoRow","SharedChanges_Phase","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Ordrak_Phased,"","False","All","0","AddAreaChain","EM4_Interior3a_boss","1","","GotoRow","SharedChanges_Phase","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Wideload,"","False","All","0","AddAreaChain","GF2_Caves2_gc3","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_GoblinForest","1","","GotoRow","Quest_Wideload","1","","GotoRow","RequireQuest","1","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Witch,"","False","All","0","AddAreaChain","GF5_Forest2","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_GoblinForest","1","","GotoRow","Quest_Witch","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Kronch,"","False","All","0","AddAreaChain","GF2_Caves1_gc1","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_GoblinForest","1","","GotoRow","Quest_Kronch","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Strongtusk,"","False","All","0","AddAreaChain","GF5_Forest1a_gc3","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_GoblinForest","1","","GotoRow","Quest_Strongtusk","1","","GotoRow","RequireQuest","1","","GotoRow","Strongtusk_RemoveWaypoint","1","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Dogjockey,"","False","All","0","AddAreaChain","GF4_Cave1_gc2","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_GoblinForest","1","","GotoRow","Quest_Dogjockey","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None)",""
Brall,"","False","All","0","AddAreaChain","GF5_Cave1_gc5","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_GoblinForest","1","","GotoRow","Quest_Brall","1","","GotoRow","RequireQuest","1","","GotoRow","DisableBossArenaExit_1","1","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Krronk,"","False","All","0","AddAreaChain","IF4_Caves1","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_HyvidForest","1","","GotoRow","Quest_Krronk","1","","GotoRow","RequireQuest","1","","GotoRow","DisableBossArenaExit_1","1","","GotoRow","Monsters_Krronk","1","","GotoRow","Boss_Krronk","1","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Boss_Krronk,"","True","All","0","SetProperty","BossMonsters|((RowName=""VespidCharger_Story_Boss_Mapworks""))","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Psora,"","False","All","0","AddAreaChain","IF2_Caves1","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_HyvidForest","1","","GotoRow","DisableBossArenaExit_1","1","","GotoRow","Quest_Psora","1","","GotoRow","RequireQuest","1","","GotoRow","Monsters_Psora","1","","GotoRow","Boss_Psora","1","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Boss_Psora,"","True","All","0","SetProperty","BossMonsters|((RowName=""VespidFlier_Story_Boss_Mapworks""))","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Frackmaster2000,"","False","All","0","AddAreaChain","IF3_Caves1","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_HyvidForest","1","","GotoRow","Quest_Frackmaster2000","1","","GotoRow","DisableBossArenaExit","1","","GotoRow","Monsters_Frackmaster2000","1","","GotoRow","Boss_Frackmaster2000","1","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Boss_Frackmaster2000,"","True","All","0","SetProperty","BossMonsters|((RowName=""Automaton_Story_Boss2_Mapworks""))","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Syzygyx,"","False","All","0","AddAreaChain","IF1_Caves1","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_HyvidForest","1","","GotoRow","Quest_Syzygyx","1","","GotoRow","Monsters_Syzygyx","1","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Spinderella,"","False","All","0","AddAreaChain","IF1_Caves2","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_HyvidForest","1","","GotoRow","Quest_Spinderella","1","","GotoRow","Monsters_Spinderella","1","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Sadista,"","False","All","0","AddAreaChain","IF5_Caves2a","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_HyvidForest","1","","GotoRow","Quest_Sadista","1","","GotoRow","RequireQuest","1","","GotoRow","Monsters_Sadista","1","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Thunderthighs,"","False","All","0","AddAreaChain","EM1_Interior2","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_EchonokMountains","1","","GotoRow","Quest_Thunderthighs","1","","GotoRow","RequireQuest","1","","GotoRow","Monsters_Thunderthighs","1","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Overcharger,"","False","All","0","AddAreaChain","EM2_Interior1","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_EchonokMountains","1","","GotoRow","Quest_Overcharger","1","","GotoRow","Monsters_Overcharger","1","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
