---,DisplayName,MaxCount,Notes
Decorations,"NSLOCTEXT(""FortPropGroupsTable"", ""E7BD264F478C4C7F192DAF8F2768310C"", ""Decoration"")","0",""
Crafting,"NSLOCTEXT(""FortPropGroupsTable"", ""D180342B410DE4DD5C8CB18911713F26"", ""Crafting"")","0",""
SkillObjects,"NSLOCTEXT(""FortPropGroupsTable"", ""F608F0B740510E2AE71DCFAC5388C037"", ""Skill Stations"")","0",""
Storage,"NSLOCTEXT(""FortPropGroupsTable"", ""AA41F71F46AF78EC18A7EFB3E25690E4"", ""Wardrobe"")","0",""
Walls,"NSLOCTEXT(""FortPropGroupsTable"", ""8536D6CE41FBC96D43F7BBB8F8D1D0CF"", ""Walls"")","0",""
Flooring,"NSLOCTEXT(""FortPropGroupsTable"", ""59C095884529CDE986A0F4A0CF8EF469"", ""Flooring"")","0",""
Foliage,"NSLOCTEXT(""FortPropGroupsTable"", ""361851B640AE503D26B6D28EF8B5C658"", ""Nature"")","0",""
Lighting,"NSLOCTEXT(""FortPropGroupsTable"", ""873E842746299646B6E8469097C1D601"", ""Lighting"")","0",""
Furniture,"NSLOCTEXT(""FortPropGroupsTable"", ""A78B7E8B4772D6CF0DDF61BE1F055CEC"", ""Furniture"")","0",""
Structures,"NSLOCTEXT(""FortPropGroupsTable"", ""19818BC84FC205CF35D6649201C2343F"", ""Structure"")","0",""
Art,"NSLOCTEXT(""FortPropGroupsTable"", ""B4BCE3384610BC2B9BDBE5922C2B7407"", ""Art"")","0",""
DecorativeStorage,"NSLOCTEXT(""FortPropGroupsTable"", ""C7FBE4CC43DA80BA83D5CF80CC8E817A"", ""Clutter"")","0",""
Misc,"NSLOCTEXT(""FortPropGroupsTable"", ""7027015D4B834C835F1B66B8EECDD15E"", ""Odds & Ends"")","0",""
