---,AffixText,AffixTextDescription,bRequiresAreas,RowType,NoPickWeight,EntryType1,Entry1,EntryTags1,WeightOrCount1,RequireQuest1,EntryType2,Entry2,EntryTags2,WeightOrCount2,RequireQuest2,EntryType3,Entry3,EntryTags3,WeightOrCount3,RequireQuest3,EntryType4,Entry4,EntryTags4,WeightOrCount4,RequireQuest4,EntryType5,Entry5,EntryTags5,WeightOrCount5,RequireQuest5,EntryType6,Entry6,EntryTags6,WeightOrCount6,RequireQuest6,EntryType7,Entry7,EntryTags7,WeightOrCount7,RequireQuest7,EntryType8,Entry8,EntryTags8,WeightOrCount8,RequireQuest8,DataCurves,Weight,OwnedGameplayTags,DungeonRequireAllTags,DungeonRequireAnyTags,DungeonExcludeAnyTags,Entries,Notes
ExampleProperties,"","","False","All","0","SetProperty","bReviveInTown|true","(GameplayTags=)","1","","SetProperty","AreaGroup|MapWorks","(GameplayTags=)","1","","SetProperty","MonsterLevelDelta|3","(GameplayTags=)","1","","SetGameplayTag","SpokeTag|Region.GoblinIsle.GoblinForest","(GameplayTags=)","1","","SetGameplayTagContainer","ThemedPropTags|Theme.None","(GameplayTags=)","1","","SetProperty","BossMonsters|((RowName=""Goblin_Brute_Story_Boss""))","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_Global,"","","False","Pick","0","GotoRow","MapWorksDungeon_GoblinForest","(GameplayTags=)","1","","GotoRow","MapWorksDungeon_InfestedForest","(GameplayTags=)","1","","GotoRow","MapWorksDungeon_EchonokMountains","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_GoblinForest,"","","False","All","0","GotoRow","MapScroll_Fire","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_InfestedForest,"","","False","All","0","GotoRow","MapScroll_Poison","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
MapWorksDungeon_EchonokMountains,"","","False","All","0","GotoRow","MapScroll_Electric","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None)",""
PhaseDungeon,"","","False","Pick","0","GotoRow","PhaseDungeon_Act1","(GameplayTags=)","1","","GotoRow","PhaseDungeon_Act2","(GameplayTags=)","1","","GotoRow","PhaseDungeon_Act3","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
PhaseDungeon_Act1,"NSLOCTEXT(""MapWorksTable"", ""9C48340246574BECE3C8DD848EC93BF2"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","","False","Pick","0","GotoRow","EndlessDungeon_Checkpoint_Wideload","(GameplayTags=)","1","","GotoRow","EndlessDungeon_Checkpoint_Strongtusk","(GameplayTags=)","1","","GotoRow","EndlessDungeon_Checkpoint_Brall","(GameplayTags=)","1","A1C5Q3","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
PhaseDungeon_Act2,"NSLOCTEXT(""MapWorksTable"", ""9F55ED53420E21BF7A71E0949E0E497A"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","","False","Pick","0","GotoRow","EndlessDungeon_Checkpoint_Psora","(GameplayTags=)","1","","GotoRow","EndlessDungeon_Checkpoint_Krronk","(GameplayTags=)","1","","GotoRow","EndlessDungeon_Checkpoint_Sadista","(GameplayTags=)","1","A2C5Q2","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
PhaseDungeon_Act3,"NSLOCTEXT(""MapWorksTable"", ""454475F94A4DE07D36ED24A84233C1BE"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","","False","Pick","0","GotoRow","EndlessDungeon_Checkpoint_Squawkclaw","(GameplayTags=)","1","","GotoRow","EndlessDungeon_Checkpoint_Shriekbeak","(GameplayTags=)","1","","GotoRow","EndlessDungeon_Checkpoint_Ordrak","(GameplayTags=)","1","A3C4Q2","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
SharedChanges,"","","True","All","0","GotoRow","AdjustLevels","(GameplayTags=)","1","","SetProperty","RequiredQuestTask|None","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
