---,AssignableSkillSet,DisplayName,Description,Icon,Background,EmberWeaponHeaderBackground,EmberWeaponIcon,EmberWeaponFlavorText,UIColor,SkillTabType,DescriptionClass,GameplayTagRequireAny,GameplayTagExcludeAny,Notes
DM_Light,"Default","NSLOCTEXT(""SkillsTabTable"", ""A493CE874B95208A882AAC9FCD02B0E7"", ""Light"")","NSLOCTEXT(""SkillsTabTable"", ""326CC1AC4DDE0731909895B68E248514"", ""Light skills focus the fading light of day into single target or piercing ranged attacks. Use light skills to buff your attacks or avoid damage.The Light buff boosts Mana regen."")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillLightIcon_png.T_UI-SkillLightIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-DUSKMAGE-Light.T_UI-SkillTabBackground-DUSKMAGE-Light'","None","None","","(R=1.000000,G=0.768600,B=0.109800,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/DMDescription.DMDescription_C","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","(GameplayTags=)",""
DM_Dark,"Default","NSLOCTEXT(""SkillsTabTable"", ""54BB7EF34032EDA164098893DA106009"", ""Dark"")","NSLOCTEXT(""SkillsTabTable"", ""87D2ABD642836679B217A78958D7347A"", ""Dark skills harness the gathering darkness to hurl dark bolts at many targets. Use dark skills to debuff or slow your enemies.The Dark buff increases damage."")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillDarkIcon_png.T_UI-SkillDarkIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-DUSKMAGE-Dark.T_UI-SkillTabBackground-DUSKMAGE-Dark'","None","None","","(R=0.690000,G=0.000000,B=1.000000,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/DMDescription.DMDescription_C","(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)",""
RM_Melee,"Default","NSLOCTEXT(""SkillsTabTable"", ""A8B0F7B242AD5E9DBC5709BADB33CC0C"", ""Slammer"")","NSLOCTEXT(""SkillsTabTable"", ""740EB9DF477F67444526B79A6BA978B6"", ""The rich history of the Railmasters endures while you practice your Slammer skills. Wield your rail tools, including your trusty Railhammer, against foes.Your fortitude gives you a defensive bonus while using melee skills."")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillLineageIcon_png.T_UI-SkillLineageIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-RAILMASTER-Slammer.T_UI-SkillTabBackground-RAILMASTER-Slammer'","None","None","","(R=0.031114,G=0.132755,B=0.161458,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/RMDescription.RMDescription_C","(GameplayTags=((TagName=""Skill.Railman.Melee"")))","(GameplayTags=)",""
RM_Turret,"Default","NSLOCTEXT(""SkillsTabTable"", ""25CF220645F801200EC2DFB2B8F78526"", ""Conductor"")","NSLOCTEXT(""SkillsTabTable"", ""CA25ED544DA8F3CB7430DDA6B94F9F0E"", ""Conductor skills are all about your battle train. These skills let you customize its cars and unleash its powerful attacks in battle."")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillTrainIcon_png.T_UI-SkillTrainIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-RAILMASTER-Conductor.T_UI-SkillTabBackground-RAILMASTER-Conductor'","None","None","","(R=0.385417,G=0.123993,B=0.022081,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/RMDescription.RMDescription_C","(GameplayTags=((TagName=""Skill.Railman.Turret"")))","(GameplayTags=)",""
Forged_Melee,"Default","NSLOCTEXT(""SkillsTabTable"", ""8D93CD264D1A1597E304B19471F0AD2E"", ""Brawl"")","NSLOCTEXT(""SkillsTabTable"", ""C4BC47BB447164F6BE772E92263B9060"", ""Brawl skills make the Forged a formidable close-range melee fighter, protected by a defensive bonus while using melee skills."")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillMeleeIcon_png.T_UI-SkillMeleeIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-FORGED-Brawl.T_UI-SkillTabBackground-FORGED-Brawl'","None","None","","(R=0.312500,G=0.081886,B=0.013021,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/ForDescription.ForDescription_C","(GameplayTags=((TagName=""Skill.Forged.Melee"")))","(GameplayTags=)",""
Forged_Ranged,"Default","NSLOCTEXT(""SkillsTabTable"", ""C6B053994B332610B2D070890FD797E3"", ""Barrage"")","NSLOCTEXT(""SkillsTabTable"", ""2E7493EC4639441AC23F4EAC5FC269F5"", ""Barrage skills utilize the Forged\'s chest cannon to attack from a distance."")","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRangeIcon_png.T_UI-SkillRangeIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-FORGED-Barrage.T_UI-SkillTabBackground-FORGED-Barrage'","None","None","","(R=0.066626,G=0.283149,B=0.496933,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/ForDescription.ForDescription_C","(GameplayTags=((TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)",""
Pet,"Pet","NSLOCTEXT(""SkillsTabTable"", ""12EB88C64F1152A4E492319E3AE95779"", ""Pet"")","","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-inventoryPet_png.T_UI-inventoryPet_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Range.T_UI-SkillTabBackground-Range'","None","None","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","Pet","/Game/UI/CharacterMenu/PetDescription.PetDescription_C","(GameplayTags=((TagName=""Skill.Pet"")))","(GameplayTags=((TagName=""Skill.Pet.Basic"")))",""
NoEmberWeapon,"None","","","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","None","None","None","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","NoEmberWeapon","None","(GameplayTags=)","(GameplayTags=)","Mostly here to help keep the code clean and select the no ember weapon tab"
BloodDrinker,"Default","NSLOCTEXT(""SkillsTabTable"", ""775516034B441E128840BC933B2E3F61"", ""Blood Drinker"")","","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Relic-BloodDrinker.T_UI-SkillTabBackground-Relic-BloodDrinker'","None","Texture2D'/Game/UI/GearIcons/GeneratedIcons/relic_blooddrinker_bp_icon.relic_blooddrinker_bp_icon'","NSLOCTEXT(""SkillsTabTable"", ""D0F6BFFB4DE37D6985A0EC832469E887"", ""Blood Drinker always thirsts."")","(R=0.380208,G=0.017697,B=0.000000,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/RelicDescription.RelicDescription_C","(GameplayTags=((TagName=""Skill.Relic.BloodDrinker"")))","(GameplayTags=)",""
FlamingDestroyer,"Default","NSLOCTEXT(""SkillsTabTable"", ""66AF5DA1485051075E84C99BB90D649A"", ""Flaming Destroyer"")","","PaperSprite'/Game/UI/Textures/Atlases/Inventory/Frames/T_UI-SkillRelicIcon_png.T_UI-SkillRelicIcon_png'","Texture2D'/Game/UI/Textures/LooseIcons/T_UI-SkillTabBackground-Relic-FlamingDestroyer.T_UI-SkillTabBackground-Relic-FlamingDestroyer'","None","Texture2D'/Game/UI/GearIcons/GeneratedIcons/relic_flamingdestroyer_bp_icon.relic_flamingdestroyer_bp_icon'","NSLOCTEXT(""SkillsTabTable"", ""A779C632499AED432C9C60A4D23F66DD"", ""Smash.  Burn.  Explode."")","(R=1.000000,G=0.062500,B=0.062500,A=1.000000)","PlayerClass","/Game/UI/CharacterMenu/RelicDescription.RelicDescription_C","(GameplayTags=((TagName=""Skill.Relic.FlamingDestroyer"")))","(GameplayTags=)",""
