---,DisplayName,Description,DescriptionLong,FlavorText,EmberWeaponData,OffHandWeaponToEquip,bUseAffixWithName,SlotForSkillDescription,MinLevel,MaxLevel,DropWeight,GoldValue,ItemWardrobe,bCanBeDyed,DyeRow,GameplayTags,AffixAnyTags,AffixAllTags,AffixSpawnRowName,ItemQuality,LootContent,LootContentRecipe,DamageType,Spoke,PlayerClass,AnimSlotPrefix,AnimSlotSuffix,bIsTwoHanded,bCanSell,bCanDestroy,bCanBeUsed,bIgnoreLevel,bIgnoreSpoke,AttackSpeedIndex,bIsStatStick,PickupAction,PickUpTraitString,MaxStackSize,IconOverride,ItemClass,Notes
Armour_Global_AmmoBag_Magic_01,"NSLOCTEXT(""ItemsTable"", ""FEFAFEE24E67C3763338E0AB6201D4F4"", ""Quality Ammo Bag"")","","","","(RowName="""")","(RowName="""")","True","None","1.000000","100.000000","0","15.000000","T1_Basic_AmmoBag_SS","False","(RowName=""Caramel"")","Region.Global;Item.Armour.AmmoBag;Element.Physical","Affix.NonElemental","Item.Armour.AmmoBag","Armor_Magic_AmmoBag","Magic","(RowName="""")","None","None","None","Character.Player","None","None","False","True","True","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_AmmoBag_Normal_01,"NSLOCTEXT(""ItemsTable"", ""10624A354A234798CC4D9BB5367C8613"", ""Worn Ammo Bag"")","","","","(RowName="""")","(RowName="""")","True","None","1.000000","100.000000","1","8.000000","T1_Basic_AmmoBag_SS","False","(RowName=""Caramel"")","Item.Armour.AmmoBag;Element.Physical","Affix.NonElemental","Item.Armour.AmmoBag","Armor_Normal_AmmoBag","Normal","(RowName="""")","None","None","None","Character.Player","None","None","False","True","True","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_AmmoBag_Normal_LifeBound_01,"NSLOCTEXT(""ItemsTable"", ""5BB0B0BC4739152C819F608B203ED48C"", ""Phasic Worn Ammo Bag"")","","","","(RowName="""")","(RowName="""")","True","None","1.000000","100.000000","0","8.000000","T1_Basic_AmmoBag_SS","False","(RowName=""Caramel"")","Item.Phased;Item.Armour.AmmoBag;Element.Physical","Affix.NonElemental","Item.Armour.AmmoBag","Armor_Normal_AmmoBag_LifeBound","Normal","(RowName="""")","None","None","None","Character.Player","None","None","False","True","True","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_AmmoBag_Rare_01,"NSLOCTEXT(""ItemsTable"", ""5A9CF70B4FEFF9D0A5501593A743FB6A"", ""Storied Ammo Bag"")","","","","(RowName="""")","(RowName="""")","True","None","1.000000","100.000000","0","15.000000","T1_Basic_AmmoBag_SS","False","(RowName=""Caramel"")","Region.Global;Item.Armour.AmmoBag;Element.Physical","Affix.NonElemental","Item.Armour.AmmoBag","Armor_Rare_AmmoBag","Rare","(RowName="""")","None","None","None","Character.Player","None","None","False","True","True","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Legendary_CommonDM_01,"NSLOCTEXT(""ItemsTable"", ""C89FED84458E23752DB5EE91F01120F3"", ""Celestial Boots"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","100.000000","T4_Common_Boots_DM","True","(RowName=""CommonChaseDM"")","Region.Global;Item.Armour.Boots","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Boots","Armor_Legendary","Legendary","(RowName="""")","None","Element.Physical","None","Character.Player.DuskMage","None","None","False","True","True","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Legendary_CommonRM_01,"NSLOCTEXT(""ItemsTable"", ""1DE2C0394F276F99D43819B32B47DD96"", ""Celestial Boots"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","100.000000","T4_Common_Boots_RM","True","(RowName=""CommonChaseRM"")","Region.Global;Item.Armour.Boots","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Boots","Armor_Legendary","Legendary","(RowName="""")","None","Element.Physical","None","Character.Player.Railman","None","None","False","True","True","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Legendary_CommonSS_01,"NSLOCTEXT(""ItemsTable"", ""1DE2C0394F276F99D43819B32B47DD96"", ""Celestial Boots"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","100.000000","T4_Common_Boots_SS","True","(RowName=""CommonChaseSS"")","Region.Global;Item.Armour.Boots","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Boots","Armor_Legendary","Legendary","(RowName="""")","None","Element.Physical","None","Character.Player.Sharpshooter","None","None","False","True","True","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Magic_Physical_01,"NSLOCTEXT(""ItemsTable"", ""460BEAF9417E75DC2417EF87A384AF3E"", ""Reinforced Gaiters"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","30.000000","T2_Industrial_Boots","True","(RowName="""")","Region.Global;Item.Armour.Boots;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Boots","Armor_Magic","Magic","(RowName="""")","None","Element.Physical","None","Character.Player.DuskMage;Character.Player.Railman","None","None","False","True","True","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Magic_Physical_LifeBound_01,"NSLOCTEXT(""ItemsTable"", ""B9CBD5E44A9CA14AA53F868F2B0820DE"", ""Phasic Reinforced Gaiters"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","30.000000","T2_Industrial_Boots","True","(RowName="""")","Region.Global;Item.Phased;Item.Armour.Boots;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Boots","Armor_Magic_LifeBound","Magic","(RowName="""")","None","Element.Physical","None","Character.Player.DuskMage;Character.Player.Railman","None","None","False","True","True","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Boots_Normal_Base_01,"NSLOCTEXT(""ItemsTable"", ""771D51E249058FEDFE37CE8199E23C8F"", ""Boots A"")","","","","(RowName="""")","(RowName="""")","False","None","0.000000","0.000000","0","0.000000","T0_Nude_Boots","False","(RowName="""")","Item.Armour.Boots","None","None","None","None","(RowName="""")","None","Element.Physical","Region.GoblinIsle.GoblinForest","Character.Player.DuskMage;Character.Player.Railman;Character.Player.Sharpshooter","None","None","False","True","True","False","False","False","None","False","AddToInventory","None","0","None","None",""
