---,DisplayName,CompletableTasks,OfferedQuests,ActivatingTasks,ActivatingCompletedTasks,DeactivatingTasks,DeactivatingCompletedTasks,bAlwaysActive,bMapMarkerIsArea,AreaSize,Notes
Chest_Quest,"NSLOCTEXT(""QuestObjectTable"", ""503539A143DB1111C4A0728981AC0EA1"", ""Quest Chest"")","","","(""Quest_CollectEmbershine:Task_CollectEmbershine"")","","","","False","False","0.000000",""
GoblinWeaponRack,"NSLOCTEXT(""QuestObjectTable"", ""4728759D4E2553B071669B93F4CA723C"", ""Weapon Rack"")","(""Quest_Goblin_GF6_Caves1:Task_BreakWeaponRacks"")","","","","","","False","False","0.000000",""
CompetitivePortal,"NSLOCTEXT(""QuestObjectTable"", ""B59E0BF14B43FDBF236B88BD6739CAC3"", ""Slime Arena Entrance"")","","","","","(""Quest_Experiment1:Task_Timer"")","","False","False","0.000000",""
Bandit,"NSLOCTEXT(""QuestObjectTable"", ""D05E96444587F524681B0B93DA14DE4C"", ""Bandit"")","(""Quest_Daily6_AlphaReward:Task_TurnInNPC"")","","","","","","False","False","0.000000",""
GatekeeperGF1,"NSLOCTEXT(""QuestObjectTable"", ""6493E5DB4F9256EBE8C92ABC7F2960B9"", ""Lt. Riksa"")","","","","(""Quest_GatekeepingGF1-2:Task_Enter"",""Quest_GatekeepingGF1-2:Task_GoToGoblinForest1"")","","(""Quest_GatekeepingGF1-2:Task_AllTasksComplete"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf1_bp"
GatekeeperGF2,"NSLOCTEXT(""QuestObjectTable"", ""4D38632E4865850105C4D1A18D50EB32"", ""Sgt. Frax"")","","","","(""Quest_GatekeepingGF2-3:Task_Enter"")","","(""Quest_GatekeepingGF2-3:Task_GoToGF2-3"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf2_bp"
GatekeeperGF3,"NSLOCTEXT(""QuestObjectTable"", ""8BF4F5AC4D2D7DDEB562118810657CB8"", ""Lt. Klef"")","","","","(""Quest_GatekeepingGF3-4:Task_QuestStart"")","","(""Quest_GatekeepingGF3-4:Task_QuestComplete"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf3_bp"
GatekeeperGF4,"NSLOCTEXT(""QuestObjectTable"", ""09FF92874E23E72EA0DA39887AC83A15"", ""Lt. Wilfur"")","","","","(""Quest_GatekeepingGF4-5:Task_QuestStart"")","","(""Quest_GatekeepingGF4-5:Task_GoToGF4-5"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf4_bp"
GatekeeperGF5,"NSLOCTEXT(""QuestObjectTable"", ""66B728E64FB9913C68BD8EBA80777E80"", ""Sgt. Somberg"")","","","","(""Quest_GatekeepingGF5-6:Task_QuestStart"")","","(""Quest_GatekeepingGF5-6:Task_GoToGF5-6"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_gf5_bp"
GatekeeperIF1_NoCollide,"NSLOCTEXT(""QuestObjectTable"", ""E7094D0346CA7DBBA06D81A36C70B88E"", ""Imperial Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if1_nocollide_bp"
GatekeeperIF2_NoCollide,"NSLOCTEXT(""QuestObjectTable"", ""E0F6FD1E4D7364DBF12696A6F782EA9A"", ""Bugswat Pass Guard"")","","","","(""Quest_Infested_GatekeepingIF2:Task_GotoIF1"")","","(""Quest_Infested_GatekeepingIF3:Task_GotoIF2"")","False","False","0.000000","npc_m_imperialguard_gatekeeper_if2_nocollide_bp"
