---,RowType,NoPickWeight,MinLevel,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,bHideInDemo,Entries,Notes
Armor_Starter_Large,"Each","0","0","AddAffixByName","Defense_Physical_Large_Primary_Newbie","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","(None)",""
Armor_Starter_Medium,"Each","0","0","AddAffixByName","Defense_Physical_Medium_Primary_Newbie","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","(None)",""
Armor_Normal,"All","0","0","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","(None,None)",""
Armor_Magic,"All","0","0","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","GotoAffixSpawnRow","Armor_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","(None,None,None)",""
Armor_Rare,"All","0","0","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","GotoAffixSpawnRow","Armor_Secondary","1","GotoAffixSpawnRow","Armor_Secondary_NoDefense","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","(None,None,None)",""
Armor_Rare_vsGoblin,"All","0","0","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","GotoAffixSpawnRow","Armor_Secondary_vsGoblin","1","GotoAffixSpawnRow","Armor_Secondary_NoDefense","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","(None,None,None)",""
Armor_Rare_vsHyvid,"All","0","0","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","GotoAffixSpawnRow","Armor_Secondary_vsHyvid","1","GotoAffixSpawnRow","Armor_Secondary_NoDefense","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","(None,None,None)",""
Armor_Rare_vsVoltura,"All","0","0","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","GotoAffixSpawnRow","Armor_Secondary_vsVoltura","1","GotoAffixSpawnRow","Armor_Secondary_NoDefense","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","(None,None,None)",""
Armor_Rare_vsKarkinos,"All","0","0","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","GotoAffixSpawnRow","Armor_Secondary_vsKarkinos","1","GotoAffixSpawnRow","Armor_Secondary_NoDefense","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","(None,None,None)",""
Armor_Rare_vsUndead,"All","0","0","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","GotoAffixSpawnRow","Armor_Secondary_vsUndead","1","GotoAffixSpawnRow","Armor_Secondary_NoDefense","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","(None,None,None)",""
Armor_Legendary,"All","0","0","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","GotoAffixSpawnRow","Armor_Secondary","1","GotoAffixSpawnRow","Armor_Secondary_NoDefense","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","(None,None,None)",""
