---,Category,Description,bSupported,ItemTableRowHandle,FortPropTableRowHandle,RecipeName,MailboxFrom,MailboxBody,PurchaseDetails,RotationGroup,RealMoneyCost,PurchaseLimit,Notes
Vendor_Buy_Wolf_Brown,"(TagName=""Store.Vendor"")","Vendor_Buy_Wolf_Brown","True","(RowName="""")","(RowName="""")","Vendor_Buy_Wolf_Brown","","","","(RowName="""")","0","0",""
Vendor_Buy_Potion_Health,"(TagName=""Store.Vendor"")","","True","(RowName=""Potion_Health"")","(RowName="""")","Vendor_Buy_Potion","","","","(RowName="""")","0","0",""
Vendor_Buy_Potion_Poison,"(TagName=""Store.Vendor"")","","True","(RowName=""Potion_Poison"")","(RowName="""")","Vendor_Buy_Potion_Poison","","","","(RowName="""")","0","0",""
Vendor_Buy_Digitus_Normal_Newbie,"(TagName=""Store.Vendor"")","","True","(RowName=""Weapon_Global_Digitus_Normal_Newbie_01"")","(RowName="""")","Vendor_Buy_Digitus_Normal_Newbie","","","","(RowName="""")","0","0",""
Vendor_Buy_Focus_Normal_Newbie,"(TagName=""Store.Vendor"")","","True","(RowName=""Weapon_Global_Focus_Normal_Newbie_01"")","(RowName="""")","Vendor_Buy_Focus_Normal_Newbie","","","","(RowName="""")","0","0",""
Vendor_Buy_Shield_Normal_Newbie,"(TagName=""Store.Vendor"")","","True","(RowName=""Weapon_Global_Shield_Normal_Newbie_01"")","(RowName="""")","Vendor_Buy_Shield_Normal_Newbie","","","","(RowName="""")","0","0",""
Vendor_Buy_Sword_Normal_Newbie,"(TagName=""Store.Vendor"")","","True","(RowName=""Weapon_Global_Sword_Normal_Newbie_01"")","(RowName="""")","Vendor_Buy_Sword_Normal_Newbie","","","","(RowName="""")","0","0",""
Vendor_Buy_Scroll_Map_Gold_Normal,"(TagName=""Store.Vendor"")","Goldursh Mapworks Scroll","True","(RowName=""LuckGold_Map_Common"")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Normal_Gold","","","","(RowName="""")","0","0",""
Vendor_Buy_Scroll_Map_Item_Normal,"(TagName=""Store.Vendor"")","Lucky Item Mapworks Scroll","True","(RowName=""LuckItem_Map_Common"")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Normal_Item","","","","(RowName="""")","0","0",""
Storage_RelicSlot,"(TagName=""Store.Static"")","Storage_RelicSlot","True","(RowName="""")","(RowName="""")","Store_RelicStorageSlot","","","NSLOCTEXT(""CatalogTable"", ""61D3746C47D100CBE9378EA352FA2D13"", ""Two additional storage slots for your Reliquary"")","(RowName="""")","0","0",""
Storage_StashTab,"(TagName=""Store.Static"")","Storage_StashTab","True","(RowName="""")","(RowName="""")","Store_StashTab","","","NSLOCTEXT(""CatalogTable"", ""D49DC87B49C167388CA3E29457F474B9"", ""An additonal storage tab for your Shared Stash"")","(RowName="""")","0","0",""
158c3dbd71c1f594,"(TagName="""")","Contract 1 Paid Pass","True","(RowName="""")","(RowName="""")","Store_Contract1_Paid","","","","(RowName="""")","0","0",""
158c3dbd716d6970,"(TagName=""Store.Static"")","Gift_A1_Banner","True","(RowName="""")","(RowName=""BannerAlpha_01"")","None","NSLOCTEXT(""CatalogTable"", ""BF1B47664E8E47A739B4F599519CEC6B"", ""Alpha Banner I"")","NSLOCTEXT(""CatalogTable"", ""1C0EE2D549F8DBB41705FDAEEFE8DFA0"", ""Thank-you gift"")","","(RowName="""")","0","0",""
158c3dbd71aa707c,"(TagName="""")","Contract 0 Paid Pass","True","(RowName="""")","(RowName="""")","Store_Contract0_Paid","","","","(RowName="""")","0","0",""
158c3dbd7193dc04,"(TagName="""")","Arc Early Access Gifts","True","(RowName="""")","(RowName=""Statue_ManaGuardian"")","Store_EarlyAccessTokens","NSLOCTEXT(""CatalogTable"", ""8B00B3E94A459FF903F5F1917B20BDE6"", ""Early Access Pack"")","NSLOCTEXT(""CatalogTable"", ""CAF4D52843837336B2C2C59C52683FC0"", ""Welcome to the adventure!"")","","(RowName="""")","0","0",""
