---,Trait,DisplayPrimarySlot,DisplaySecondarySlot,DisplayName,TraitTextFormat,bShowAsNegative,CategoryName,Notes
HitpointBonus,"Hitpoints","Max","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""02A165214A9A42F0A07C48912F0BF4D0"", ""Bonus Health"")","BonusPercentage","False","Defense",""
HitpointMax,"Hitpoints","Max","None","NSLOCTEXT(""TraitDisplayTable"", ""4C8B725B4730E065C6CF26995B0E8EEC"", ""Health"")","None","False","None",""
HitpointRegen,"Hitpoints","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""8A5334944D4E95F42CC6729ECB3AEBA1"", ""Health Regen /sec."")","Bonus","False","Defense",""
Damage,"Damage","Value","None","","None","False","AttackTypes",""
DamagePct,"Damage","Value","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""47104B7A40F039605BB6008DFA9AE980"", ""Damage percent"")","BonusPercentage","False","Attack",""
DamageVsTarget,"DamageVsTarget","Value","None","","None","False","AttackTypes",""
DamagePctByElement,"DamagePctByElement","Value","None","","None","False","AttackTypes",""
DamagePctBySkillName,"DamagePctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""23D23E2045AF81EE2B767693ED832D4A"", ""Damage Bonus for {0}"")","BonusPercentage","False","Attack",""
DamagePctBySkillTag,"DamagePctBySkillTag","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""AC75AEE245CEDF1C44CEB3B7A0A5A255"", ""Damage Bonus for {0}"")","BonusPercentage","False","Attack",""
DefenseVsSource,"DefenseVsSource","Value","None","","None","False","DefenseTypes",""
DefenseVsElement,"DefenseVsElement","Value","None","","None","False","DefenseTypes",""
StunChance,"StunChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""FE959C714D1715A1D6370BB3DB9F09C1"", ""Stun Chance"")","Percentage","False","Attack",""
StunDuration,"StunDuration","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""E19AA5094FB3258678727999D64ABF9C"", ""Stun Duration"")","Seconds","False","Attack",""
StunResistance,"StunResistance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""8033B99D4B7116F521924890073C261F"", ""Stun Resistance"")","Percentage","False","Defense",""
KnockbackChance,"KnockbackChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""BFCAE6BF431B6020D3239F8B05680862"", ""Knockback Chance"")","Percentage","False","Attack",""
KnockbackResistance,"KnockbackResistance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""C888CECF42F34E937D79EA8B93C9C925"", ""Knockback Resistance"")","Percentage","False","Defense",""
LuckGear,"Luck|Item.Gear","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""F7E9001C45FD9953D38A239F28500437"", ""Gear Luck"")","BonusPercentage","False","Defense",""
LuckGold,"Luck|Item.Currency.Gold","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""78D5D1BC47CF069A5ECBCC994AD59F36"", ""Gold Luck"")","BonusPercentage","False","Defense",""
LuckPotion,"Luck|Item.Potion","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""C603D8A7417AFCD10343219D91BA84CB"", ""Potion Luck"")","BonusPercentage","False","Defense",""
LuckSkillPoints,"Luck|Currency.SkillPoint","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""3ED3C6234338B71449126C9206A3CC8C"", ""Skill Point Luck"")","BonusPercentage","False","Defense",""
ProcChance,"ProcChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""DD2FFAF140BE11BCBCEB66B3CB3CB739"", ""{0} Chance"")","Percentage","False","Attack",""
ElementalProcChance,"ElementalProcChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""E0A1EBA74E8689114B6EABA9463B8F8A"", ""{0} Chance"")","Percentage","False","Attack",""
ElementalProcDuration,"ElementalProcDuration","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""4873515E415E1CBDB4CD89A0D27F2031"", ""{0} Duration"")","Seconds","False","Attack",""
ElementalProcDamage,"ElementalProcDamage","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""CA2E56764531939FD4C2A9871C541065"", ""{0} Damage"")","None","False","Attack",""
