---,MonsterClass,MonsterGroup,DisplayName,LevelRangeString,ChampionLevelRangeString,HitpointPercent,DamagePercent,PickWeight,ItemSpawn,ChampionScaleMultiplier,ChampionDamage,ChampionSpeedBonusPercent,ChampionNameSpawnRow,ChampionPackNameSpawnRow,ChampionIgnoreMinionsChance,RecentDamageDecayRate,GetHitThreshold,GetHitCooldown,GetHitChance,AggroRadius,bShouldTether,ChaseRadius,Drama,AudioDrama,AudioCategory,TraitString1,TraitString2,TraitString3,MonsterTags,ItemSpawnGameplayTagFilter,ChampionItemSpawnGameplayTagFilter,ExperiencePercent,DamageElement,ScaleMultiplier,PackSizeSmall,PackSizeMedium,PackSizeLarge,PackSizeExtraLarge,Defense,DefensePhysical,DefenseWater,DefenseFire,DefenseCold,DefensePoison,DefenseElectric,Skill00Cooldown,Skill00DamageFactor,Skill01Cooldown,Skill01DamageFactor,Skill02Cooldown,Skill02DamageFactor,Skill03Cooldown,Skill03DamageFactor,Skill04Cooldown,Skill04DamageFactor,Skill05Cooldown,Skill05DamageFactor,ExtraSkill00Cooldown,ExtraSkill00DamageFactor,ExtraSkill01Cooldown,ExtraSkill01DamageFactor,ExtraSkill02Cooldown,ExtraSkill02DamageFactor,ExtraSkill03Cooldown,ExtraSkill03DamageFactor,ExtraSkill04Cooldown,ExtraSkill04DamageFactor,ExtraSkill05Cooldown,ExtraSkill05DamageFactor,MonsterDescription,Bank,Notes
Alpaca_Melee,"/Game/Monsters/petalpaca/alpacamelee_b.alpacamelee_b_C","Alpaca_Melee","NSLOCTEXT(""MonstersTable"", ""08D42CF9492145D1E68E25A405C0C346"", ""Angry Alpaca Biter"")","1-100","3-100","1.780000","0.670000","0","Standard","1.250000","1.000000","0.000000","None","None","0.250000","0.020000","0.100000","1.000000","1.000000","800.000000","True","2500.000000","2.000000","3.000000","Medium","","","","(GameplayTags=((TagName=""Character.Monster.VeryRare""),(TagName=""Character.Monster.Alpaca""),(TagName=""Character.Monster.Alpaca.Menacer""),(TagName=""Character.Monster.Championable""),(TagName=""Character.Monster.Championable.Solo""),(TagName=""Character.Monster.Day""),(TagName=""Character.Monster.Spider""),(TagName=""Character.Monster.Melee"")))","(GameplayTags=((TagName=""Currency.Monster.None"")))","(GameplayTags=((TagName=""Currency.Monster.None"")))","2.360000","Element.Physical","1.000000","1","2","3","5","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","","(AssetGuid=00000000000000000000000000000000)",""
Alpaca_Menacer,"/Game/Monsters/petalpaca/alpacamenacer_b.alpacamenacer_b_C","Alpaca_Menacer","NSLOCTEXT(""MonstersTable"", ""2ACDCA324068D6CAF5C8D5BDBAE3DA21"", ""Supreme Alpaca Menacer"")","1-100","3-100","1.780000","0.670000","0","Tough","1.250000","1.000000","0.000000","None","None","0.250000","0.020000","0.100000","1.000000","1.000000","800.000000","True","2500.000000","2.000000","3.000000","Brute","","","","(GameplayTags=((TagName=""Character.Monster.VeryRare""),(TagName=""Character.Monster.Alpaca""),(TagName=""Character.Monster.Alpaca.Menacer""),(TagName=""Character.Monster.Championable""),(TagName=""Character.Monster.Championable.Solo""),(TagName=""Character.Monster.Day""),(TagName=""Character.Monster.Melee"")))","(GameplayTags=((TagName=""Currency.Monster.None"")))","(GameplayTags=((TagName=""Currency.Monster.None"")))","2.360000","Element.Physical","1.000000","1","2","3","5","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","","(AssetGuid=00000000000000000000000000000000)",""
Alpaca_Spitter,"/Game/Monsters/petalpaca/alpacaspitter_b.alpacaspitter_b_C","Alpaca_Spitter","NSLOCTEXT(""MonstersTable"", ""BAE55C934B4DFFFC6AE32C94AC2DDB29"", ""Rude Alpaca Spitter"")","1-100","3-100","1.780000","0.670000","0","Standard","1.250000","1.000000","0.000000","None","None","0.250000","0.020000","0.100000","1.000000","1.000000","800.000000","True","2500.000000","2.000000","3.000000","Medium","","","","(GameplayTags=((TagName=""Character.Monster.VeryRare""),(TagName=""Character.Monster.Alpaca""),(TagName=""Character.Monster.Alpaca.Spitter""),(TagName=""Character.Monster.Championable""),(TagName=""Character.Monster.Championable.Pack""),(TagName=""Character.Monster.Day""),(TagName=""Character.Monster.Ranged"")))","(GameplayTags=((TagName=""Currency.Monster.None"")))","(GameplayTags=((TagName=""Currency.Monster.None"")))","2.360000","Element.Physical","1.000000","1","2","3","5","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Custodian_Electric,"/Game/Monsters/automatacustodian/automatacustodian_electric_bp.automatacustodian_electric_bp_C","Automaton_Custodian_Electric","NSLOCTEXT(""MonstersTable"", ""3AAC50BA40E94FB461E3DDA195615CA3"", ""Galvanic Custodian"")","1-100","3-100","1.070000","0.670000","1000","Standard_Metaly","1.800000","1.000000","0.000000","AutomataName","AutomataPackName","0.250000","0.020000","0.200000","1.500000","1.000000","800.000000","True","2500.000000","1.000000","1.000000","Medium","ElementalProcChance|Proc.Shock=1.0;ElementalProcDamage|Proc.Shock=.15;ElementalProcDuration|Proc.Shock=4","","","(GameplayTags=((TagName=""Character.Monster.Common""),(TagName=""Character.Monster.Automaton.Custodian.Electric""),(TagName=""Character.Monster.NonBiological""),(TagName=""Character.Monster.ElementalThemed.Electric""),(TagName=""Character.Monster.Automaton.Electric""),(TagName=""Character.Monster.Championable""),(TagName=""Character.Monster.Championable.Solo""),(TagName=""Character.Monster.Day""),(TagName=""Character.Monster.Ranged"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","1.500000","Element.Electric","0.500000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","10.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","","(AssetGuid=69D98587FE4448FFA684454C6DD761B8)",""
Automaton_Custodian_Electric_Turret,"/Game/Monsters/automatacustodian/automatacustodian_electric_Turret_bp.automatacustodian_electric_Turret_bp_C","Automaton_Custodian_Electric_Turret","NSLOCTEXT(""MonstersTable"", ""2A171BC44D898814E433339D5CC3B884"", ""Galvanic Turret"")","1-100","0","2.400000","1.500000","0","Standard_Metaly","1.800000","1.000000","0.000000","AutomataName","AutomataPackName","0.250000","0.020000","0.200000","1.500000","1.000000","800.000000","True","2500.000000","1.000000","1.000000","Medium","ElementalProcChance|Proc.Shock=1.0;ElementalProcDamage|Proc.Shock=.15;ElementalProcDuration|Proc.Shock=4;MovementDisabled=1.0","","","(GameplayTags=((TagName=""Character.Monster.Common""),(TagName=""Character.Monster.NonBiological""),(TagName=""Character.Monster.ElementalThemed.Electric""),(TagName=""Character.Monster.Automaton.Electric""),(TagName=""Character.Monster.Championable""),(TagName=""Character.Monster.Championable.Solo""),(TagName=""Character.Monster.Day""),(TagName=""Character.Monster.Automaton.Turret.Electric""),(TagName=""Character.Monster.Ranged"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","3.380000","Element.Electric","0.500000","1","1","1","1","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","10.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""D72C11174C0504379A5C3584D3AA84F3"", ""Immobile"")","(AssetGuid=69D98587FE4448FFA684454C6DD761B8)",""
Automaton_Custodian_Fire,"/Game/Monsters/automatacustodian/automatacustodian_fire_bp.automatacustodian_fire_bp_C","Automaton_Custodian_Fire","NSLOCTEXT(""MonstersTable"", ""625E92AE4E3D9FC707A1458D8FFFDB7B"", ""Fiery Custodian"")","1-100","3-100","1.070000","0.670000","1000","Standard_Metaly","1.800000","1.000000","0.000000","AutomataName","AutomataPackName","0.250000","0.020000","0.300000","1.000000","1.000000","800.000000","True","2500.000000","1.000000","1.000000","Medium","","","","(GameplayTags=((TagName=""Character.Monster.Common""),(TagName=""Character.Monster.Automaton.Custodian.Fire""),(TagName=""Character.Monster.NonBiological""),(TagName=""Character.Monster.ElementalThemed.Fire""),(TagName=""Character.Monster.Automaton.Fire""),(TagName=""Character.Monster.Championable""),(TagName=""Character.Monster.Championable.Solo""),(TagName=""Character.Monster.Day""),(TagName=""Character.Monster.Ranged"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","1.500000","Element.Fire","0.500000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","","(AssetGuid=69D98587FE4448FFA684454C6DD761B8)",""
Automaton_Custodian_Fire_Turret,"/Game/Monsters/automatacustodian/automatacustodian_fire_Turret_bp.automatacustodian_fire_Turret_bp_C","Automaton_Custodian_Fire_Turret","NSLOCTEXT(""MonstersTable"", ""35DEB31C4D2607916E1D02AF16B8B48F"", ""Fiery Turret"")","1-100","0","2.400000","1.500000","0","Standard_Metaly","1.800000","1.000000","0.000000","AutomataName","AutomataPackName","0.250000","0.020000","0.300000","1.000000","1.000000","800.000000","True","2500.000000","1.000000","1.000000","Medium","MovementDisabled=1.0","","","(GameplayTags=((TagName=""Character.Monster.Common""),(TagName=""Character.Monster.NonBiological""),(TagName=""Character.Monster.ElementalThemed.Fire""),(TagName=""Character.Monster.Automaton.Fire""),(TagName=""Character.Monster.Championable""),(TagName=""Character.Monster.Championable.Solo""),(TagName=""Character.Monster.Day""),(TagName=""Character.Monster.Automaton.Turret.Fire""),(TagName=""Character.Monster.Ranged"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","3.380000","Element.Fire","0.500000","1","1","1","1","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""00B42AED43C6865768BA21896EDB2AA8"", ""Immobile"")","(AssetGuid=69D98587FE4448FFA684454C6DD761B8)",""
Automaton_Custodian_Physical,"/Game/Monsters/automatacustodian/automatacustodian_physical_bp.automatacustodian_physical_bp_C","Automaton_Custodian_Physical","NSLOCTEXT(""MonstersTable"", ""91443E7945E4D3530D3BE1B590BDE2EA"", ""Mechanical Custodian"")","1-100","3-100","1.070000","0.670000","1000","Standard_Metaly","1.800000","1.000000","0.000000","AutomataName","AutomataPackName","0.250000","0.020000","0.300000","1.000000","1.000000","800.000000","True","2500.000000","1.000000","1.000000","Medium","","","","(GameplayTags=((TagName=""Character.Monster.Common""),(TagName=""Character.Monster.Automaton.Custodian.Physical""),(TagName=""Character.Monster.NonBiological""),(TagName=""Character.Monster.Automaton.Physical""),(TagName=""Character.Monster.Championable""),(TagName=""Character.Monster.Championable.Solo""),(TagName=""Character.Monster.Day""),(TagName=""Character.Monster.Ranged"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","1.500000","Element.Physical","0.500000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","","(AssetGuid=69D98587FE4448FFA684454C6DD761B8)",""
Automaton_Custodian_Physical_Turret,"/Game/Monsters/automatacustodian/automatacustodian_physical_Turret_bp.automatacustodian_physical_Turret_bp_C","Automaton_Custodian_Physical_Turret","NSLOCTEXT(""MonstersTable"", ""02F6785C4E0230F5FB6B45ABF56C58A2"", ""Mechanical Turret"")","1-100","0","2.400000","1.500000","0","Standard_Metaly","1.800000","1.000000","0.000000","AutomataName","AutomataPackName","0.250000","0.020000","0.300000","1.000000","1.000000","800.000000","True","2500.000000","1.000000","1.000000","Medium","MovementDisabled=1.0","","","(GameplayTags=((TagName=""Character.Monster.Common""),(TagName=""Character.Monster.NonBiological""),(TagName=""Character.Monster.Automaton.Physical""),(TagName=""Character.Monster.Championable""),(TagName=""Character.Monster.Championable.Solo""),(TagName=""Character.Monster.Day""),(TagName=""Character.Monster.Automaton.Turret.Physical""),(TagName=""Character.Monster.Ranged"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","3.380000","Element.Physical","0.500000","1","1","1","1","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""5800FF8F4582920089ED6BAA61915387"", ""Immobile"")","(AssetGuid=69D98587FE4448FFA684454C6DD761B8)",""
Automaton_Custodian_Poison,"/Game/Monsters/automatacustodian/automatacustodian_poison_bp.automatacustodian_poison_bp_C","Automaton_Custodian_Poison","NSLOCTEXT(""MonstersTable"", ""8E33F0844825E32974B7DB824FE8E424"", ""Toxic Custodian"")","1-100","3-100","1.070000","0.670000","1000","Standard_Metaly","1.800000","1.000000","0.000000","AutomataName","AutomataPackName","0.250000","0.020000","0.300000","1.000000","1.000000","800.000000","True","2500.000000","1.000000","1.000000","Medium","","","","(GameplayTags=((TagName=""Character.Monster.Common""),(TagName=""Character.Monster.Automaton.Custodian.Poison""),(TagName=""Character.Monster.NonBiological""),(TagName=""Character.Monster.ElementalThemed.Poison""),(TagName=""Character.Monster.Automaton.Poison""),(TagName=""Character.Monster.Championable""),(TagName=""Character.Monster.Championable.Solo""),(TagName=""Character.Monster.Day""),(TagName=""Character.Monster.Ranged"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","(GameplayTags=((TagName=""Currency.Monster.Automaton"")))","1.500000","Element.Poison","0.500000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","","(AssetGuid=69D98587FE4448FFA684454C6DD761B8)",""
