---,DisplayName,Type,Dye,SkinHairGradient,Icon,MinLevel,MaxLevel,ItemHasAnyTags,bIsPlayerDye,DropWeight,AreaTags,Notes
Undies,"NSLOCTEXT(""DyeTable"", ""768604144CAADE615F0070ABD57A3116"", ""Undies"")","GearDye","/Game/Items/Dyes/Dye_Undies.Dye_Undies_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
StarterDM,"NSLOCTEXT(""DyeTable"", ""3036B4CC41319E657D66FBA8510B27C4"", ""Dusk Mage Starter Dye"")","GearDye","/Game/Items/Dyes/Dye_StarterDm.Dye_StarterDm_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
StarterRM,"NSLOCTEXT(""DyeTable"", ""60D160A443F1B0D8DC0576B79C6B936A"", ""Railmaster Starter Dye"")","GearDye","/Game/Items/Dyes/Dye_StarterRm.Dye_StarterRm_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
StarterFG,"NSLOCTEXT(""DyeTable"", ""BB3332CB415A47031BA1D0A7F9FCA037"", ""Forged Starter Dye"")","GearDye","/Game/Items/Dyes/Dye_StarterFor.Dye_StarterFor_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
StarterSS,"NSLOCTEXT(""DyeTable"", ""19B268074F27AA0AD9F2978B148C0BCC"", ""Sharpshooter Starter Dye"")","GearDye","/Game/Items/Dyes/Dye_StarterSs.Dye_StarterSs_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Rags,"NSLOCTEXT(""DyeTable"", ""85951E664202D0DFBACF7F93DF47E8EB"", ""Rags"")","GearDye","/Game/Items/Dyes/Dye_Rags.Dye_Rags_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
ViridianDirt,"NSLOCTEXT(""DyeTable"", ""195D6343417A6D9B10D324BA213F6F3A"", ""Viridian Dirt"")","GearDye","/Game/Items/Dyes/Dye_ViridianDirt.Dye_ViridianDirt_C","None","None","1.000000","4.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
SageOcher,"NSLOCTEXT(""DyeTable"", ""288D6094479C9280A5C7D580CEED68B2"", ""Sage Ocher"")","GearDye","/Game/Items/Dyes/Dye_SageOcher.Dye_SageOcher_C","None","None","1.000000","4.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
WoodlandGreen,"NSLOCTEXT(""DyeTable"", ""3389A3A74A4AE1DDBE236C990F6B462F"", ""Woodland Green"")","GearDye","/Game/Items/Dyes/Dye_Woodland_Green.Dye_Woodland_Green_C","None","None","1.000000","50.000000","(GameplayTags=((TagName=""ItemQuality.Normal"")))","False","300","(GameplayTags=)",""
Caramel,"NSLOCTEXT(""DyeTable"", ""6B8D2E8842CC3BD74D123BB1DC3BD0DD"", ""Caramel"")","GearDye","/Game/Items/Dyes/Dye_Caramel.Dye_Caramel_C","None","None","5.000000","54.000000","(GameplayTags=((TagName=""ItemQuality.Normal"")))","False","200","(GameplayTags=)",""
RobinsNest,"NSLOCTEXT(""DyeTable"", ""BEDF941844C8778F442C8094B0E8485E"", ""Robins Nest"")","GearDye","/Game/Items/Dyes/Dye_RobinsNest.Dye_RobinsNest_C","None","None","25.000000","74.000000","(GameplayTags=((TagName=""ItemQuality.Normal"")))","False","500","(GameplayTags=)",""
IconicDM,"NSLOCTEXT(""DyeTable"", ""62C4C372471F881BC289C497770DEBC6"", ""Iconic DM"")","GearDye","/Game/Items/Dyes/Dye_IconicDM.Dye_IconicDM_C","None","None","18.000000","34.000000","(GameplayTags=)","False","300","(GameplayTags=)",""
IconicRM,"NSLOCTEXT(""DyeTable"", ""2B9248114E3D8CB76D96A98AC7A2BC6E"", ""Iconic RM"")","GearDye","/Game/Items/Dyes/Dye_IconicRM.Dye_IconicRM_C","None","None","18.000000","34.000000","(GameplayTags=)","False","300","(GameplayTags=)",""
IconicForged,"NSLOCTEXT(""DyeTable"", ""A09B6C184AC0AC255B2A20B1A5611CEB"", ""Iconic Forged"")","GearDye","/Game/Items/Dyes/Dye_IconicForged.Dye_IconicForged_C","None","None","18.000000","34.000000","(GameplayTags=)","False","300","(GameplayTags=)",""
GuildedStorm,"NSLOCTEXT(""DyeTable"", ""BB4346534F541DF0FFF504BF460329AB"", ""Guilded Storm"")","GearDye","/Game/Items/Dyes/Dye_GuildedStorm.Dye_GuildedStorm_C","None","None","50.000000","99.000000","(GameplayTags=((TagName=""ItemQuality.Normal"")))","False","200","(GameplayTags=)",""
Tan,"NSLOCTEXT(""DyeTable"", ""5698A7334BF5E5DF993BF2BCD6D5A929"", ""Tan"")","GearDye","/Game/Items/Dyes/Dye_Tan.Dye_Tan_C","None","None","75.000000","100.000000","(GameplayTags=((TagName=""ItemQuality.Normal"")))","False","500","(GameplayTags=)",""
BurgundyBark,"NSLOCTEXT(""DyeTable"", ""5CD6AF9C447E94EF909FC18C02F74505"", ""Burgandy Bark"")","GearDye","/Game/Items/Dyes/Dye_Burgundy_Bark.Dye_Burgundy_Bark_C","None","None","1.000000","50.000000","(GameplayTags=((TagName=""ItemQuality.Magic"")))","False","300","(GameplayTags=)",""
