---,SkillClass,CharacterTag,Animation,AnimationOverride,MaximumSkillLevel,MinimumSkillLevel,EmberWeaponUnlockLevel,bShowSkillLevel,GameplayTags,ExclusiveTags,RequiredSkillTab,RequiredLevelInSkillTab,TraitMode,TraitString,PerLevelDisplayTexts,PerLevelDisplayCategories,TraitCurve1,TraitCurve2,TraitCurve3,TraitCurve4,Tier1TraitString,Tier1DisplayText,Tier2TraitString,Tier2DisplayText,Tier3TraitString,Tier3DisplayText,bCanNeverBeUnlocked,bHiddenBehindCheats,SkillPanelRow,SkillPanelColumn,TryStatusEffect,TryDuration,DefaultSkillSet,DefaultSkillSlot,Notes
DM_HolyBolt,"/Game/Skills/Blueprints/DuskMage/Skill_holybolt.Skill_holybolt_C","Character.Player.DuskMage","Default","None","10","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","1","Default","SkillDamageFactorMultiplier|DM_HolyBolt=0.0425","(NSLOCTEXT(""SkillsTable"", ""58DC86684865D208F9EADFB06676CD00"", ""Holy Bolt damage""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.HolyBolt1=1","NSLOCTEXT(""SkillsTable"", ""A6FB643C42090EF41C9642B86FF21276"", ""While Holy Charged, fire 2 Holy Bolts"")","DamagePctBySkillTag|Skill.DuskMage.Dark=0.2","NSLOCTEXT(""SkillsTable"", ""8A1A0DA34CC4D2564143A6AB1A8C216F"", ""+20% Dark Skill Damage"")","SkillModifier|Skill.DuskMage.Milestone.HolyBolt2=1","NSLOCTEXT(""SkillsTable"", ""ACE7398147B0B88904157AA864035EB2"", ""Every 3rd cast fires a larger Bolt that deals double damage"")","False","False","1","0","(RowName="""")","30.000000","Default","Skill00",""
DM_UnholyBolt,"/Game/Skills/Blueprints/DuskMage/Skill_unholybolt.Skill_unholybolt_C","Character.Player.DuskMage","Default","None","10","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","1","Default","SkillDamageFactorMultiplier|DM_UnholyBolt=0.1","(NSLOCTEXT(""SkillsTable"", ""112DF9AE40750FFA98AAB1A19ABCD8D4"", ""Unholy Bolt damage""))","","PerLevelByOnes","None","None","None","SkillModifier|Affix.Legendary.DuskMage.UnholyBoltExtraProjectiles=1","NSLOCTEXT(""SkillsTable"", ""90948F204FBFE976111B2FA0343867F5"", ""Adds 1 more Bolt to each cast"")","DamagePctBySkillTag|Skill.DuskMage.Light=.2","NSLOCTEXT(""SkillsTable"", ""8217863F474FCAE001E3A58F5650ECB1"", ""+20% Light Skill Damage"")","SkillModifier|Affix.Legendary.DuskMage.UnholyBoltExtraProjectiles=2","NSLOCTEXT(""SkillsTable"", ""547BB08C4316F0C2046486A6D496AF94"", ""Adds 2 more Bolts to each cast"")","False","False","0","0","(RowName="""")","30.000000","Default","Skill00",""
DM_HolyFury,"/Game/Skills/Blueprints/DuskMage/Skill_HolyFury.Skill_HolyFury_C","Character.Player.DuskMage","Default","None","10","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","5","Default","SkillDamageFactorMultiplier|DM_HolyFury=0.0425","(NSLOCTEXT(""SkillsTable"", ""B721BC4347DD537E554CB1ACB7F22DED"", ""Holy Fury Damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","EnergyCostPctBySkillName|DM_HolyFury=-0.3","NSLOCTEXT(""SkillsTable"", ""AAE6E1064435B05395E38F8785B2B8FC"", ""-30% Holy Fury Mana Cost"")","CriticalHitChanceForType|Skill.DuskMage.Dark=.1","NSLOCTEXT(""SkillsTable"", ""A5F229854F66BAB5F5D677A35C5AA0DA"", ""+10% Critical Hit Chance for Dark Skills"")","EnergyCostPctBySkillName|DM_HolyFury=-0.3","NSLOCTEXT(""SkillsTable"", ""DE1965A349EBDE1AC7555ABF29B42570"", ""Holy Fury is doubled in width"")","False","False","0","1","(RowName=""TrySkill_DM_HolyFury"")","30.000000","Default","Skill00",""
DM_LuminousRun,"/Game/Skills/Blueprints/DuskMage/Skill_LuminousRun.Skill_LuminousRun_C","Character.Player.DuskMage","Default","None","10","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Light"")","5","Default","DurationPctBySkillName|DM_LuminousRun=0.085","(NSLOCTEXT(""SkillsTable"", ""3ACC629E40C26999E13280A3385B0CA7"", ""Luminous Run duration""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.LuminousRun1=1","NSLOCTEXT(""SkillsTable"", ""9D2115614EB1361138232EA2982B7D4A"", ""Activating Luminous Run heals you for 10% of your total Health"")","DamagePctBySkillTag|Skill.EmberWeapon.Active=0.2","NSLOCTEXT(""SkillsTable"", ""1D193D3C44D6A1B09CC7898E4FB6B983"", ""+20% Relic Active Skill Damage"")","SkillModifier|Skill.DuskMage.Milestone.LuminousRun2=1","NSLOCTEXT(""SkillsTable"", ""BA0ABB424F746A435867B7AC6D50D629"", ""Casting Luminous Run makes you immune to damage for 1 sec."")","False","False","2","1","(RowName=""TrySkill_DM_LuminousRun"")","30.000000","Default","Skill00",""
DM_Entropy,"/Game/Skills/Blueprints/DuskMage/Skill_Entropy.Skill_Entropy_C","Character.Player.DuskMage","Default","None","10","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","5","Default","SkillDamageFactorMultiplier|DM_Entropy=0.1","(NSLOCTEXT(""SkillsTable"", ""289763F5435E84EBBE1D2B8D283B427F"", ""Entropy Damage""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.Entropy1=1","NSLOCTEXT(""SkillsTable"", ""2C502FC44A642118231650A67418E3FC"", ""Entropy lasts longer and moves slower"")","CriticalHitChanceForType|Skill.DuskMage.Light=.1","NSLOCTEXT(""SkillsTable"", ""0804EA784ACF2DC3F1F5249A74A902F4"", ""10% Critical Hit Chance for Light Skills"")","SkillModifier|Skill.DuskMage.Milestone.Entropy2=1","NSLOCTEXT(""SkillsTable"", ""39E746694E80C5C4CC6BD88D627FDA61"", ""Entropy triggers Dark Explosions for the skill\'s current Weapon Damage"")","False","False","1","1","(RowName=""TrySkill_DM_Entropy"")","30.000000","Default","Skill00",""
DM_DarkSpears,"/Game/Skills/Blueprints/DuskMage/Skill_Darkspears.Skill_Darkspears_C","Character.Player.DuskMage","Default","None","10","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Dark"")","10","Default","SkillDamageFactorMultiplier|DM_DarkSpears=0.1","(NSLOCTEXT(""SkillsTable"", ""50D479DD4BD38BBD0BEB87B0026037D2"", ""Dark Spears Damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","DurationPctBySkillName|DM_DarkSpears=0.5","NSLOCTEXT(""SkillsTable"", ""4BAFBDFD49C6FA8488DB2F91CA6F9B2A"", ""+50% duration for Dark Spears"")","CooldownPctBySkillTag|Skill.Cooldown.DuskMage=-.1","NSLOCTEXT(""SkillsTable"", ""2442E74B43BE6EDCEA9C73A891AA3690"", ""-10% cooldown for Dusk Mage Skills"")","SkillModifier|Skill.DuskMage.Milestone.Darkspears2=1","NSLOCTEXT(""SkillsTable"", ""18B1DACE45E6E87C580AAE9CB2B2E451"", ""Dark Spears now immediately hits the area for 100% Weapon Damage"")","False","False","0","2","(RowName=""TrySkill_DM_DarkSpears"")","30.000000","Default","Skill00",""
DM_Absolver,"/Game/Skills/Blueprints/DuskMage/Skill_Absolver.Skill_Absolver_C","Character.Player.DuskMage","Default","None","10","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","10","Default","SkillDamageFactorMultiplier|DM_Absolver=0.085;","(NSLOCTEXT(""SkillsTable"", ""413E873A4B115C554F2C8FBA86C0886C"", ""Absolver damage""))","(NSLOCTEXT(""SkillsTable"", ""DM_Absolver_PerLevelDisplayCategories_Index0"", """"),NSLOCTEXT(""SkillsTable"", ""B8ECEB88488EF7536CA21D90C136A3B2"", ""Dark Skills""))","PerLevelByOnes","none","None","None","EnergyCostPctBySkillName|DM_Absolver=-.25;SkillModifier|Skill.DuskMage.Milestone.Absolver1=1","NSLOCTEXT(""SkillsTable"", ""400532EA4270B07D83CC268DAA03C6D3"", ""Absolver\'s missiles travel 25% farther and cost 25% less Mana to Cast"")","DamagePctByStatusEffectTag|StatusEffect.Blinded=.1;DamagePctByStatusEffectTag|StatusEffect.Slow=.1;DamagePctByStatusEffectTag|StatusEffect.Stunned=.1","NSLOCTEXT(""SkillsTable"", ""31D6AD684CE036AD3FACA99F2B40DF5F"", ""+10% Damage to Blinded, Slowed, or Stunned enemies"")","SkillModifier|Skill.DuskMage.Milestone.Absolver2=1","NSLOCTEXT(""SkillsTable"", ""CFFD02C141B5817D7FFFACB343C9F2CF"", ""Absolver now fires 5 missiles"")","False","False","1","2","(RowName=""TrySkill_DM_Absolver"")","30.000000","Default","Skill00",""
DM_RadiantBlast,"/Game/Skills/Blueprints/DuskMage/Skill_RadiantBlast.Skill_RadiantBlast_C","Character.Player.DuskMage","Default","None","10","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","15","Default","SkillDamageFactorMultiplier|DM_RadiantBlast=0.042","(NSLOCTEXT(""SkillsTable"", ""7CC8B7124C8A1CF139A7AA8DA12F8AF4"", ""Damage to Radiant Blast""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.RadiantBlast1=1","NSLOCTEXT(""SkillsTable"", ""70ED43354216BA697CE3018601B47DA8"", ""Infused enemies explode on death for 100% Weapon Damage"")","DamagePctBySkillTag|Skill.BasicAttack=.3","NSLOCTEXT(""SkillsTable"", ""69BA0A7D46C7307809391C946B2DCAB1"", ""+30% Damage for Basic Attacks"")","SkillModifier|Skill.DuskMage.Milestone.RadiantBlast2=1","NSLOCTEXT(""SkillsTable"", ""4DD9DE7247FAD9B03056979E5CE3E55B"", ""Exploding infused enemies infuse those they hit"")","False","False","0","3","(RowName=""TrySkill_DM_RadiantBlast"")","30.000000","Default","Skill00",""
DM_SpiritWell,"/Game/Skills/Blueprints/DuskMage/Skill_SpiritWell.Skill_SpiritWell_C","Character.Player.DuskMage","Default","None","10","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Dark"")","15","Default","SkillDamageFactorMultiplier|DM_SpiritWell=0.1","(NSLOCTEXT(""SkillsTable"", ""9A43E09747FF39078F5FF796E8460211"", ""Damage for Spirit Well Minions""))","(NSLOCTEXT(""SkillsTable"", ""DM_SpiritWell_PerLevelDisplayCategories_Index0"", """"),NSLOCTEXT(""SkillsTable"", ""19F3D0B74870DE6AEFB101B6FF419902"", ""Dark Skills""))","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.SpiritWell1=1","NSLOCTEXT(""SkillsTable"", ""28D63BCF45E2708BA0496CBD93DE8192"", ""Adds a spectral Netherim Warrior to the Spirit Well"")","DamagePctBySkillTag|Skill.Pet=.65","NSLOCTEXT(""SkillsTable"", ""230BB84945339D729DF83CA6A33F6854"", ""+65% damage for Pets"")","SkillModifier|Skill.DuskMage.Milestone.SpiritWell2=1","NSLOCTEXT(""SkillsTable"", ""73C819E54CC7D75DB2456B99F6667E24"", ""Adds a spectral Netherim Brute to the Spirit Well"")","False","False","1","3","(RowName=""TrySkill_DM_SpiritWell"")","30.000000","Default","Skill00",""
DM_Consecration,"/Game/Skills/Blueprints/DuskMage/Skill_Consecration.Skill_Consecration_C","Character.Player.DuskMage","Default","None","10","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Light"")","15","Default","DurationPctBySkillName|DM_Consecration=.02","(NSLOCTEXT(""SkillsTable"", ""968B0F2348296D610CEFEB9C56DC01DD"", ""Consecration Damage Bonus""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.Consecration1=1","NSLOCTEXT(""SkillsTable"", ""D9BA19104458EE90C48A208A32318E10"", ""Consecration is 25% larger and knocks back enemies"")","ProcChance|PotionIntangible=.025","NSLOCTEXT(""SkillsTable"", ""9DB6BA564975DC74E6BD75BE54C2C1C2"", ""25% chance to become Intangible on Potion use"")","SkillModifier|Skill.DuskMage.Milestone.Consecration2=1","NSLOCTEXT(""SkillsTable"", ""86E838394772143D0C074B984EB8F24A"", ""Consecration heals 15% total Health per second"")","False","False","2","3","(RowName=""TrySkill_DM_Consecration"")","30.000000","Default","Skill00",""
