---,SkillClass,CharacterTag,Animation,AnimationOverride,MaximumSkillLevel,MinimumSkillLevel,EmberWeaponUnlockLevel,bShowSkillLevel,GameplayTags,ExclusiveTags,RequiredSkillTab,RequiredPointsInSkillTab,TraitMode,TraitString,PerLevelDisplayTexts,PerLevelDisplayCategories,TraitCurve1,TraitCurve2,TraitCurve3,TraitCurve4,Tier1TraitString,Tier1DisplayText,Tier2TraitString,Tier2DisplayText,Tier3TraitString,Tier3DisplayText,bCanNeverBeUnlocked,bHiddenBehindCheats,SkillPanelRow,SkillPanelColumn,TryStatusEffect,TryDuration,DefaultSkillSet,DefaultSkillSlot,Notes
DM_HolyBolt,"/Game/Skills/Blueprints/DuskMage/Skill_holybolt.Skill_holybolt_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","Default","SkillDamageFactorMultiplier|DM_HolyBolt=0.0425","(NSLOCTEXT(""SkillsTable"", ""58DC86684865D208F9EADFB06676CD00"", ""Holy Bolt damage""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.HolyBolt1=1","NSLOCTEXT(""SkillsTable"", ""F1820C5B4F4B0C22165F3EB8560C5D12"", ""While Light Charged Fire Two Holy Bolts"")","DamagePctBySkillTag|Skill.DuskMage.Dark=0.2","NSLOCTEXT(""SkillsTable"", ""936F3FB84313A993B622DC8CEAAFB5CB"", ""+20% Dark Skill Damage"")","SkillModifier|Skill.DuskMage.Milestone.HolyBolt2=1","NSLOCTEXT(""SkillsTable"", ""D68628264E718514FCC7B8992E57D689"", ""Every Third Cast Fires a Larger Bolt that Does Double Damage"")","False","False","1","0","(RowName="""")","30.000000","Default","Skill00",""
DM_UnholyBolt,"/Game/Skills/Blueprints/DuskMage/Skill_unholybolt.Skill_unholybolt_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","Default","SkillDamageFactorMultiplier|DM_UnholyBolt=0.1","(NSLOCTEXT(""SkillsTable"", ""112DF9AE40750FFA98AAB1A19ABCD8D4"", ""Unholy Bolt damage""))","","PerLevelByOnes","None","None","None","SkillModifier|Affix.Legendary.DuskMage.UnholyBoltExtraProjectiles=1","NSLOCTEXT(""SkillsTable"", ""9D6B3A714BF496690D261D84E747269A"", ""Adds One More Bolt to Each Cast"")","DamagePctBySkillTag|Skill.DuskMage.Light=.2","NSLOCTEXT(""SkillsTable"", ""8217863F474FCAE001E3A58F5650ECB1"", ""+20% Light Skill Damage"")","SkillModifier|Affix.Legendary.DuskMage.UnholyBoltExtraProjectiles=2","NSLOCTEXT(""SkillsTable"", ""E53F43144FFA33F0E78BABAFFB7A8974"", ""Adds Two More Bolts to Each Cast"")","False","False","1","0","(RowName="""")","30.000000","Default","Skill00",""
DM_HolyFury,"/Game/Skills/Blueprints/DuskMage/Skill_HolyFury.Skill_HolyFury_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","1","Default","SkillDamageFactorMultiplier|DM_HolyFury=0.0425","(NSLOCTEXT(""SkillsTable"", ""B721BC4347DD537E554CB1ACB7F22DED"", ""Holy Fury Damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","EnergyCostPctBySkillName|DM_HolyFury=-0.3","NSLOCTEXT(""SkillsTable"", ""AAE6E1064435B05395E38F8785B2B8FC"", ""-30% Holy Fury Mana Cost"")","CriticalHitChanceForType|Skill.DuskMage.Dark=.1","NSLOCTEXT(""SkillsTable"", ""A5F229854F66BAB5F5D677A35C5AA0DA"", ""+10% Critical Hit Chance for Dark Skills"")","EnergyCostPctBySkillName|DM_HolyFury=-0.3","NSLOCTEXT(""SkillsTable"", ""81B28AAC4C3BE17389DE90B2CC27FD2D"", ""Holy Fury is Doubles in Width"")","False","False","2","1","(RowName=""TrySkill_DM_HolyFury"")","30.000000","Default","Skill00",""
DM_LuminousRun,"/Game/Skills/Blueprints/DuskMage/Skill_LuminousRun.Skill_LuminousRun_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Light"")","1","Default","DurationPctBySkillName|DM_LuminousRun=0.085","(NSLOCTEXT(""SkillsTable"", ""3ACC629E40C26999E13280A3385B0CA7"", ""Luminous Run duration""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.LuminousRun1=1","NSLOCTEXT(""SkillsTable"", ""D9EAF05D4250E61D864A338B4F822330"", ""Activating Luminous Run Heals You for 10% of Your Total Health"")","DamagePctBySkillTag|Skill.EmberWeapon.Active=0.2","NSLOCTEXT(""SkillsTable"", ""1D193D3C44D6A1B09CC7898E4FB6B983"", ""+20% Relic Active Skill Damage"")","SkillModifier|Skill.DuskMage.Milestone.LuminousRun2=1","NSLOCTEXT(""SkillsTable"", ""F3932CA0496E1117670D81ACCEF0EFDA"", ""Activating Luminous Run Makes You Immune to Damage for 1s"")","False","False","0","1","(RowName=""TrySkill_DM_LuminousRun"")","30.000000","Default","Skill00",""
DM_Entropy,"/Game/Skills/Blueprints/DuskMage/Skill_Entropy.Skill_Entropy_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","1","Default","SkillDamageFactorMultiplier|DM_Entropy=0.1","(NSLOCTEXT(""SkillsTable"", ""289763F5435E84EBBE1D2B8D283B427F"", ""Entropy Damage""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.Entropy1=1","NSLOCTEXT(""SkillsTable"", ""1507E1734DE4853B15326C9ADC672B59"", ""Entropy Lasts Longer and Moves Slower"")","CriticalHitChanceForType|Skill.DuskMage.Light=.1","NSLOCTEXT(""SkillsTable"", ""0804EA784ACF2DC3F1F5249A74A902F4"", ""10% Critical Hit Chance for Light Skills"")","SkillModifier|Skill.DuskMage.Milestone.Entropy2=1","NSLOCTEXT(""SkillsTable"", ""7D9238A24B1BB22775FEE89617969F47"", ""Entropy Does Dark Explosions for the Skill\'s Current Weapon Damage"")","False","False","2","1","(RowName=""TrySkill_DM_Entropy"")","30.000000","Default","Skill00",""
DM_DarkSpears,"/Game/Skills/Blueprints/DuskMage/Skill_Darkspears.Skill_Darkspears_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Dark"")","5","Default","SkillDamageFactorMultiplier|DM_DarkSpears=0.1","(NSLOCTEXT(""SkillsTable"", ""50D479DD4BD38BBD0BEB87B0026037D2"", ""Dark Spears Damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","DurationPctBySkillName|DM_DarkSpears=0.5","NSLOCTEXT(""SkillsTable"", ""CCBB8C1E4FB8B39E022DAA93E7CBCD13"", ""+50% Duration for Dark Spears"")","CooldownPctBySkillTag|Skill.Cooldown.DuskMage=-.1","NSLOCTEXT(""SkillsTable"", ""3A3E3956490088FE6BFF0A9C212A891A"", ""-10% Cooldown for Dusk Mage Skills"")","SkillModifier|Skill.DuskMage.Milestone.Darkspears2=1","NSLOCTEXT(""SkillsTable"", ""DBA254F7446EC0DCC43C1E8B66B904DB"", ""Dark Spears Now Immediately Hits the Area for 100% Weapon Damage"")","False","False","2","2","(RowName=""TrySkill_DM_DarkSpears"")","30.000000","Default","Skill00",""
DM_Absolver,"/Game/Skills/Blueprints/DuskMage/Skill_Absolver.Skill_Absolver_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","5","Default","SkillDamageFactorMultiplier|DM_Absolver=0.085;","(NSLOCTEXT(""SkillsTable"", ""413E873A4B115C554F2C8FBA86C0886C"", ""Absolver damage""))","(NSLOCTEXT(""SkillsTable"", ""DM_Absolver_PerLevelDisplayCategories_Index0"", """"),NSLOCTEXT(""SkillsTable"", ""B8ECEB88488EF7536CA21D90C136A3B2"", ""Dark Skills""))","PerLevelByOnes","none","None","None","EnergyCostPctBySkillName|DM_Absolver=-.25;SkillModifier|Skill.DuskMage.Milestone.Absolver1=1","NSLOCTEXT(""SkillsTable"", ""91EFD7354F1E7B4C37C3FAA44B626564"", ""Absolver\'s Missiles Travel 25% Farther and Cost 25% Less Mana to Cast"")","DamagePctByStatusEffectTag|StatusEffect.Blinded=.1;DamagePctByStatusEffectTag|StatusEffect.Slow=.1;DamagePctByStatusEffectTag|StatusEffect.Stunned=.1","NSLOCTEXT(""SkillsTable"", ""31D6AD684CE036AD3FACA99F2B40DF5F"", ""+10% Damage to Blinded, Slowed, or Stunned enemies"")","SkillModifier|Skill.DuskMage.Milestone.Absolver2=1","NSLOCTEXT(""SkillsTable"", ""B42EBB1848C1BE170F6E8AB49B9A7318"", ""Absolver Now Fires Five Missiles"")","False","False","1","2","(RowName=""TrySkill_DM_Absolver"")","30.000000","Default","Skill00",""
DM_RadiantBlast,"/Game/Skills/Blueprints/DuskMage/Skill_RadiantBlast.Skill_RadiantBlast_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Light"")","10","Default","SkillDamageFactorMultiplier|DM_RadiantBlast=0.042","(NSLOCTEXT(""SkillsTable"", ""7CC8B7124C8A1CF139A7AA8DA12F8AF4"", ""Damage to Radiant Blast""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.RadiantBlast1=1","NSLOCTEXT(""SkillsTable"", ""8B6BD5D2400F6ADC0FD368BE2D18C4BD"", ""Infused Enemies Explode on Death for 100% Weapon Damage"")","DamagePctBySkillTag|Skill.BasicAttack=.3","NSLOCTEXT(""SkillsTable"", ""69BA0A7D46C7307809391C946B2DCAB1"", ""+30% Damage for Basic Attacks"")","SkillModifier|Skill.DuskMage.Milestone.RadiantBlast2=1","NSLOCTEXT(""SkillsTable"", ""45CC4F7743F84B3734EC349D6B57CB4C"", ""Infused Exploding Enemies Infuse Those They Hit"")","False","False","2","3","(RowName=""TrySkill_DM_RadiantBlast"")","30.000000","Default","Skill00",""
DM_SpiritWell,"/Game/Skills/Blueprints/DuskMage/Skill_SpiritWell.Skill_SpiritWell_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Dark"")","5","Default","SkillDamageFactorMultiplier|DM_SpiritWell=0.1","(NSLOCTEXT(""SkillsTable"", ""9A43E09747FF39078F5FF796E8460211"", ""Damage for Spirit Well Minions""))","(NSLOCTEXT(""SkillsTable"", ""DM_SpiritWell_PerLevelDisplayCategories_Index0"", """"),NSLOCTEXT(""SkillsTable"", ""19F3D0B74870DE6AEFB101B6FF419902"", ""Dark Skills""))","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.SpiritWell1=1","NSLOCTEXT(""SkillsTable"", ""28D63BCF45E2708BA0496CBD93DE8192"", ""Adds a spectral Netherim Warrior to the Spirit Well"")","DamagePctBySkillTag|Skill.Pet=.65","NSLOCTEXT(""SkillsTable"", ""CBC74EF742A7C726E6FF4588EA701217"", ""+65% Damage for Pets"")","SkillModifier|Skill.DuskMage.Milestone.SpiritWell2=1","NSLOCTEXT(""SkillsTable"", ""73C819E54CC7D75DB2456B99F6667E24"", ""Adds a spectral Netherim Brute to the Spirit Well"")","False","False","0","2","(RowName=""TrySkill_DM_SpiritWell"")","30.000000","Default","Skill00",""
DM_Consecration,"/Game/Skills/Blueprints/DuskMage/Skill_Consecration.Skill_Consecration_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Light"")","10","Default","DurationPctBySkillName|DM_Consecration=.02","(NSLOCTEXT(""SkillsTable"", ""968B0F2348296D610CEFEB9C56DC01DD"", ""Consecration Damage Bonus""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.Consecration1=1","NSLOCTEXT(""SkillsTable"", ""D1957D94427D91EA45D3C3AF86258414"", ""Consecration is 25% Larger and Knocks Back Enemies"")","ProcChance|PotionIntangible=.025","NSLOCTEXT(""SkillsTable"", ""A0FD147541B0A1CAF9869CB4C7A49062"", ""25% Chance to Become Intangible on Potion Use"")","SkillModifier|Skill.DuskMage.Milestone.Consecration2=1","NSLOCTEXT(""SkillsTable"", ""250FD38643CAC11F2D300291C6664F79"", ""Consecration Heals 15% Total Health Per Second"")","False","False","0","3","(RowName=""TrySkill_DM_Consecration"")","30.000000","Default","Skill00",""
