---,ChargeTimeSeconds,DrainTimeSeconds,SkillTab,SkillTag,MasteryBonus,MasteryBonusForShrine,LevelUpSkill,MaxLevel,Notes
Bane,"120.000000","30.000000","(RowName=""Bane"")","(TagName=""Skill.EmberWeapon.Bane"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","40.000000",""
BloodDrinker,"60.000000","30.000000","(RowName=""BloodDrinker"")","(TagName=""Skill.EmberWeapon.BloodDrinker"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","40.000000",""
ClockworkStaff,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
ColdHeartIceWall,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
Conduit,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
CursedStaff,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
FireStriker,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
FlameTongue,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
FlamingDestroyer,"120.000000","30.000000","(RowName=""FlamingDestroyer"")","(TagName=""Skill.EmberWeapon.FlamingDestroyer"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","40.000000",""
FlashFreeze,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
PainandGain,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
PlaguedOne,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
StaffofHolylFury,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
SwordoftheLostLegion,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
Thunderbuss,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
UnboundBlade,"120.000000","30.000000","(RowName="""")","(TagName=""Skill.EmberWeapon"")","None","None","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeaponLevelIUp.Skill_EmberWeaponLevelIUp_C","50.000000",""
