---,DisplayName,BaseMonster,AffixString,ShouldSpawnReturnPortal,DestroyAllMonstersOnDie,ScaleMultiplier,HitpointBonusMultiplier,DamageBonusMultiplier,SpeedBonusMultiplier,ExperienceBonusMultiplier,AggroRadius,bShouldTether,ChaseRadius,IgnoreMinionChance,StatusEffect,ItemSpawn,TraitString1,TraitString2,TraitString3,ItemSpawnGameplayTags,Notes
Alpaca_Side_Boss,"NSLOCTEXT(""BossTable"", ""1ADB0A21422AD15B1ADDC2AFFEB944DA"", ""Queen of Alpacas"")","(RowName=""Alpaca_Menacer"")","Knockback;Damage","True","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
Automaton_Story_Boss2,"NSLOCTEXT(""BossTable"", ""AA1317DB4DD46C771DA28DB95A870936"", ""Frackmaster 2000"")","(RowName=""Automaton_Sentry_Poison_Boss"")","Health","False","False","1.500000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
Automaton_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""C48C5C6440A26740FCB002828FAFB88A"", ""Ol\' Wally"")","(RowName=""Automaton_Sentry_Fire_Boss"")","Blazing","False","False","1.500000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_Outdoors_EndCap.StatusEffect_MiniBoss_Outdoors_EndCap_C","Champion_Unique","KnockbackResistance=1","","","None",""
Automaton_Rando_Boss3,"NSLOCTEXT(""BossTable"", ""4B1F1AE94E50DA31E283398D42173109"", ""J0N-E-5"")","(RowName=""Automaton_Sentry_Poison_Boss"")","Toxic","False","False","1.500000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_Outdoors_EndCap.StatusEffect_MiniBoss_Outdoors_EndCap_C","Champion_Unique","KnockbackResistance=1","","","None",""
Automaton_Rando_Boss4,"NSLOCTEXT(""BossTable"", ""98A6E5CA437D2CFC215FDF9548B2F2B9"", ""Lord Corrose"")","(RowName=""Automaton_Sentry_Poison_Boss"")","Toxic","False","False","1.500000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_Outdoors_EndCap.StatusEffect_MiniBoss_Outdoors_EndCap_C","Champion_Unique","KnockbackResistance=1","","","None",""
Automaton_Story_Boss,"NSLOCTEXT(""BossTable"", ""17AF97C04B9C39C71E26038D7694C573"", ""Secret Weapon"")","(RowName=""Automaton_Sentry_Fire_Boss"")","Blazing;Fast","True","True","1.500000","36.000000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_SecretWeapon.StatusEffect_MiniBoss_SecretWeapon_C","Boss","KnockbackResistance=1","","","None","Quest_Goblin_DestroySecretWeapon"
Automaton_Electric_Story_Boss,"NSLOCTEXT(""BossTable"", ""1E45254B432AC7C0B6E4E8897A88B380"", ""Overcharger"")","(RowName=""Automaton_Hulk_Electric"")","Fast","True","False","1.500000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
Goblin_Bomber_Rando_Boss,"NSLOCTEXT(""BossTable"", ""01B359E34E1874C1813BAF96AA3A698A"", ""Toll-Taker Tater"")","(RowName=""Goblin_Bomber"")","","False","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_Outdoors_EndCap.StatusEffect_MiniBoss_Outdoors_EndCap_C","Champion_Unique","KnockbackResistance=1","","","None",""
Goblin_Brute_Story_Boss,"NSLOCTEXT(""BossTable"", ""F36A8F99421DCB4254F66A9B23C02811"", ""Wideload, Chieftain of Snotskins"")","(RowName=""Goblin_Brute_Boss"")","Knockback","True","True","1.600000","36.000000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MonsterBoss_Wideload.StatusEffect_MonsterBoss_Wideload_C","Story_Boss_Drop","KnockbackResistance=1","Energy.Max=4;Energy.RegenMax=4;Energy.Regen=4","","None",""
Goblin_Brute_Phase_Boss,"NSLOCTEXT(""BossTable"", ""F36A8F99421DCB4254F66A9B23C02811"", ""Wideload, Chieftain of Snotskins"")","(RowName=""Goblin_Brute_Boss"")","Knockback","True","True","1.600000","36.000000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MonsterBoss_Wideload.StatusEffect_MonsterBoss_Wideload_C","Phase_Boss_Drop","KnockbackResistance=1","Energy.Max=4;Energy.RegenMax=4;Energy.Regen=4","","None",""
