---,DisplayName,bSave,bStartingPet,bIgnoreSpawnCollision,MinionOffset,MinionScaleMultiplier,Description,DefaultSkill,MinionClass,CharacterCreateMinionClass,ClosestDyeColor,bIsFlying,CharacterSelectIdle,Hitpoints,Damage,LifetimeSeconds,QualityTags,DropWeight,GameplayTags,MinionTypeTag,AggroRadius,MinionGameplayTags,MinionTypeGameplayTag,TraitString1,TraitString2,TraitString3,TraitString4,TraitString5,Notes
Faerie01,"NSLOCTEXT(""MinionsTable"", ""CAC229844806CC8FE6D9DD98AD3176EB"", ""Azure Glittersprite"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","NSLOCTEXT(""MinionsTable"", ""F3F4B47946F24181C831FF958E891556"", ""Faeries hail from a dimension perpendicular to ours, delighting in visiting our world on holiday. They excel at making mischief. Rescue more pets from bosses throughout the world and they will battle courageously at your side."")","(RowName=""PetAura_MovementSpeed"")","/Game/Monsters/petfaerie/petfaerie_blue_bp.petfaerie_blue_bp_C","None","(RowName="""")","False","/Game/Monsters/petfaerie/animation/petfaerie_charselect_idle_fidget_Montage.petfaerie_charselect_idle_fidget_Montage","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","0","(GameplayTags=((TagName=""Character.Minion.Pet.Faerie"")))","(TagName=""Character.Minion.Pet.Faerie"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","","Platform Exclusive Pet"
Faerie02,"NSLOCTEXT(""MinionsTable"", ""697B65AF4761EFC896E2B188F4473A36"", ""Verdant Glittersprite"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","NSLOCTEXT(""MinionsTable"", ""A3D175214E6C0B9BF82664B2B864C650"", ""Faeries hail from a dimension perpendicular to ours, delighting in visiting our world on holiday. They excel at making mischief. Rescue more pets from bosses throughout the world and they will battle courageously at your side."")","(RowName=""Pet_SummonSkeleton"")","/Game/Monsters/petfaerie/petfaerie_green_bp.petfaerie_green_bp_C","None","(RowName="""")","False","/Game/Monsters/petfaerie/animation/petfaerie_charselect_idle_fidget_Montage.petfaerie_charselect_idle_fidget_Montage","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","0","(GameplayTags=((TagName=""Character.Minion.Pet.Faerie"")))","(TagName=""Character.Minion.Pet.Faerie"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","","Platform Exclusive Pet"
Faerie03,"NSLOCTEXT(""MinionsTable"", ""5A7964124B76EA0749941F81E211282F"", ""Ashen Glittersprite"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","NSLOCTEXT(""MinionsTable"", ""10C09D364815242AF6BD8BBF2B59C3B4"", ""Faeries hail from a dimension perpendicular to ours, delighting in visiting our world on holiday. They excel at making mischief. Rescue more pets from bosses throughout the world and they will battle courageously at your side."")","(RowName=""Pet_LifeSteal"")","/Game/Monsters/petfaerie/petfaerie_grey_bp.petfaerie_grey_bp_C","None","(RowName="""")","False","/Game/Monsters/petfaerie/animation/petfaerie_charselect_idle_fidget_Montage.petfaerie_charselect_idle_fidget_Montage","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","0","(GameplayTags=((TagName=""Character.Minion.Pet.Faerie"")))","(TagName=""Character.Minion.Pet.Faerie"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","","Platform Exclusive Pet"
Faerie04,"NSLOCTEXT(""MinionsTable"", ""733A648E4810553C73A9F2A01021F9C2"", ""Violet Glittersprite"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","NSLOCTEXT(""MinionsTable"", ""F1B1817F4C641D9F63E51E90CB0C7A45"", ""Faeries hail from a dimension perpendicular to ours, delighting in visiting our world on holiday. They excel at making mischief. Rescue more pets from bosses throughout the world and they will battle courageously at your side."")","(RowName=""PetAura_Defense"")","/Game/Monsters/petfaerie/petfaerie_purple_bp.petfaerie_purple_bp_C","None","(RowName="""")","False","/Game/Monsters/petfaerie/animation/petfaerie_charselect_idle_fidget_Montage.petfaerie_charselect_idle_fidget_Montage","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","0","(GameplayTags=((TagName=""Character.Minion.Pet.Faerie"")))","(TagName=""Character.Minion.Pet.Faerie"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","","Platform Exclusive Pet"
Faerie05,"NSLOCTEXT(""MinionsTable"", ""3A42FB474EA3E24F815CEBA23CA83B95"", ""Buttercup Glittersprite"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","NSLOCTEXT(""MinionsTable"", ""6354D6C1482E00E5AE855F872FE315A0"", ""Faeries hail from a dimension perpendicular to ours, delighting in visiting our world on holiday. They excel at making mischief. Rescue more pets from bosses throughout the world and they will battle courageously at your side."")","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petfaerie/petfaerie_yellow_bp.petfaerie_yellow_bp_C","None","(RowName="""")","False","/Game/Monsters/petfaerie/animation/petfaerie_charselect_idle_fidget_Montage.petfaerie_charselect_idle_fidget_Montage","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Faerie"")))","(TagName=""Character.Minion.Pet.Faerie"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Faerie06,"NSLOCTEXT(""MinionsTable"", ""488FB8174DD5A297E3B045ACE21845C5"", ""Forest Glittersprite"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","NSLOCTEXT(""MinionsTable"", ""D56F64C24B9784B9865C479294B3CC34"", ""Faeries hail from a dimension perpendicular to ours, delighting in visiting our world on holiday. They excel at making mischief. Rescue more pets from bosses throughout the world and they will battle courageously at your side."")","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petfaerie/petfaerie_forest_bp.petfaerie_forest_bp_C","None","(RowName="""")","False","/Game/Monsters/petfaerie/animation/petfaerie_charselect_idle_fidget_Montage.petfaerie_charselect_idle_fidget_Montage","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Magic"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Faerie"")))","(TagName=""Character.Minion.Pet.Faerie"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Faerie07,"NSLOCTEXT(""MinionsTable"", ""B81E1611475B9BC9807DBF886DC6F7B4"", ""Toasty Glittersprite"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","NSLOCTEXT(""MinionsTable"", ""F91605C843C9D34CE0F7C3842FF151CE"", ""Faeries hail from a dimension perpendicular to ours, delighting in visiting our world on holiday. They excel at making mischief. Rescue more pets from bosses throughout the world and they will battle courageously at your side."")","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petfaerie/petfaerie_burnt_bp.petfaerie_burnt_bp_C","None","(RowName="""")","False","/Game/Monsters/petfaerie/animation/petfaerie_charselect_idle_fidget_Montage.petfaerie_charselect_idle_fidget_Montage","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","1000","(GameplayTags=((TagName=""Character.Minion.Pet.Faerie"")))","(TagName=""Character.Minion.Pet.Faerie"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Ferret01,"NSLOCTEXT(""MinionsTable"", ""Ferret01_DisplayName"", ""Albino Ferret"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","NSLOCTEXT(""MinionsTable"", ""4CB46C3F4B18BDFDB0F44697594BFE70"", ""The small, spirited Ferret is hard to hit and not to root for. Rescue more pets from bosses throughout the world and they will battle courageously at your side."")","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petferret/petferret_albino_bp.petferret_albino_bp_C","None","(RowName="""")","False","/Game/Monsters/petferret/animation/petferret_charselect_idle_Montage.petferret_charselect_idle_Montage","6.000000","1.000000","0.000000","(GameplayTags=((TagName=""ItemQuality.Normal"")))","0","(GameplayTags=((TagName=""Character.Minion.Pet.Ferret"")))","(TagName=""Character.Minion.Pet.Ferret"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Ferret02,"NSLOCTEXT(""MinionsTable"", ""Ferret02_DisplayName"", ""Black Sable Ferret"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","NSLOCTEXT(""MinionsTable"", ""C322E7FD462F2A400D461DAD54EF1E8E"", ""The small, spirited Ferret is hard to hit and not to root for. Rescue more pets from bosses throughout the world and they will battle courageously at your side."")","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petferret/petferret_blacksable_bp.petferret_blacksable_bp_C","None","(RowName="""")","False","/Game/Monsters/petferret/animation/petferret_charselect_idle_Montage.petferret_charselect_idle_Montage","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","0","(GameplayTags=((TagName=""Character.Minion.Pet.Ferret"")))","(TagName=""Character.Minion.Pet.Ferret"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Ferret03,"NSLOCTEXT(""MinionsTable"", ""Ferret03_DisplayName"", ""Champagne Ferret"")","True","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","NSLOCTEXT(""MinionsTable"", ""2FCB3D53433FAB1DD9FF0099B97402E4"", ""The small, spirited Ferret is hard to hit and not to root for. Rescue more pets from bosses throughout the world and they will battle courageously at your side."")","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petferret/petferret_champagne_bp.petferret_champagne_bp_C","None","(RowName="""")","False","/Game/Monsters/petferret/animation/petferret_charselect_idle_Montage.petferret_charselect_idle_Montage","6.000000","0.500000","0.000000","(GameplayTags=((TagName=""ItemQuality.Magic"")))","0","(GameplayTags=((TagName=""Character.Minion.Pet.Ferret"")))","(TagName=""Character.Minion.Pet.Ferret"")","1000.000000","None","None","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
