---,MinLevel,MaxLevel,DropWeight,MaxCount,TextFormat,ItemTextFormat,bIsPrimaryAffix,TraitType,AffixGameplayTags,AffixCurveValue1,AffixCurveValue2,AffixCurveValue3,AffixCurveValue4,AffixCurveValue5,AffixCurveValue6,TraitString,Normal,Magic,Rare,Legendary,Unique,TextOnDrop,Notes
AlwaysCritFrozenEnemies,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""E66552FE48A9DDECDB95F7A66AF5AC88"", ""Always Critically Hit Frozen enemies."")","","False","Weapon","Affix.Secondary;Item.Weapon.Global;Item.Weapon.1H;Item.Weapon.2H;;Item.Armour.Chest;Item.Armour.Shoulders;Item.Armour.Boots;Item.Armour.Hatch","Ones","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Frozen","","","","","","","Legendary Secondary"
AttackSpeedBonus,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""8A22EBC04B8724CFACC513BEFCC053E9"", ""+{0%}% Attack Speed for Basic Attacks"")","","False","Weapon","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Armour.AmmoBag","AttackSpeed","None","None","None","None","None","AttackSpeedBonusMult|Skill.Weapon",".3-.5",".6-.72",".7-.85",".9-1.1","","",""
AttackSpeedBonus_LifeBound,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""8A22EBC04B8724CFACC513BEFCC053E9"", ""+{0%}% Attack Speed"")","","False","Weapon","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Armour.AmmoBag","AttackSpeed","None","None","None","None","None","AttackSpeedBonusMult|Skill.Weapon","1.1-1.6","1.5-2","1.9-2.25","","","",""
Block,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""EBA0D6284139AB8C3CDC668ED7EFCD91"", ""{0%}% chance to Block"")","","True","Default","Affix.Primary;Affix.NonElemental;Item.Weapon.Shield;Affix.Block;Item.Pet.Collar","BlockChance","None","None","None","None","None","BlockChance","4-5","4.8-5.8","5.6-6.6","6.4-7.2","","",""
Block_LifeBound,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""EBA0D6284139AB8C3CDC668ED7EFCD91"", ""{0%}% chance to Block"")","","True","Default","Affix.Primary;Affix.NonElemental;Item.Weapon.Shield;Affix.Block;Item.Pet.Collar;Affix.LifeBound","BlockChance","None","None","None","None","None","BlockChance","5-6.25","6-7.25","8.4-9.9","","","",""
Block_Strong,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""EBA0D6284139AB8C3CDC668ED7EFCD91"", ""{0%}% chance to Block"")","","True","Default","Affix.Primary;Item.Weapon.Shield;Affix.Block","BlockChance","None","None","None","None","None","BlockChance","5-6.25","6-7.25","8.4-9.9","9.6-10.8","","",""
Block_Strong_LifeBound,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""EBA0D6284139AB8C3CDC668ED7EFCD91"", ""{0%}% chance to Block"")","","True","Default","Affix.Primary;Item.Weapon.Shield;Affix.Block;Affix.LifeBound","BlockChance","None","None","None","None","None","BlockChance","7.2-9","8.64-10.44","10.08-11.88","11.52-12.96","","",""
Block_Secondary,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""0838E6BC43B4350983BD518895C2243E"", ""+{0%}% chance to Block"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.Shield;Affix.Block;Item.Pet.Collar","BlockChance","None","None","None","None","None","BlockChance","1-1.75","1.5-2.25","2-3.5","3.25-4.75","","",""
Block_Secondary_LifeBound,"1.000000","100.000000","200","1","NSLOCTEXT(""AffixTable"", ""B4B6EBA14F795C16FDB017833AEF15D7"", ""+{0%}% chance to Block"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.Shield;Affix.Block;Item.Pet.Collar;Affix.LifeBound","BlockChance","None","None","None","None","None","BlockChance","1.5-2.25","2-3.5","3.25-4.75","","","",""
CriticalHit_Bonus,"1.000000","100.000000","200","0","NSLOCTEXT(""AffixTable"", ""6FC68E1947308CB3DCB3A397A5E7DD41"", ""+{0%}% bonus to Critical Damage"")","NSLOCTEXT(""AffixTable"", ""96800F7C485D2EDBE0DD118179AC8151"", ""{0} of Power"")","False","Weapon","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Weapon.Cannon","CritBonusDamage","None","None","None","None","None","CriticalDamageBonus","","1-1.6","1.37-2.35","2.05-3","","",""
