---,StatusEffect,Weight,MinimumMonsterLevel,MaximumMonsterLevel,AreaApplyPercent,RequireSpokeTags,RequireAny,RequireAll,ExcludeAny,Notes
Damage,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffixDamage.StatusEffect_MonsterAffixDamage_C","100","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=((TagName=""Character.Monster.Champion""),(TagName="""")))",""
Fast,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_MoveSpeed.StatusEffect_MonsterAffix_MoveSpeed_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Stun,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Stun.StatusEffect_MonsterAffix_Stun_C","0","4.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique""),(TagName=""Character.Monster.Champion.Boss"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Solo"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Minion""),(TagName=""Character.Monster.Champion.Champion"")))",""
Knockback,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Knockback.StatusEffect_MonsterAffix_Knockback_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion"")))","(GameplayTags=)",""
Nimble,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Nimble.StatusEffect_MonsterAffix_Nimble_C","100","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=((TagName=""Character.Monster.Champion"")))",""
Nimble_Rare,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Nimble_Rare.StatusEffect_MonsterAffix_Nimble_Rare_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Lethal,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Lethal.StatusEffect_MonsterAffix_Lethal_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=((TagName=""""),(TagName=""Character.Monster.Champion.Legendary"")))",""
Bonded,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Bonded.StatusEffect_MonsterAffix_Bonded_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion""),(TagName=""Character.Monster.Championable.Pack"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Unique""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Boss"")))",""
Phalanx,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Phalanx.StatusEffect_MonsterAffix_Phalanx_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion.Champion""),(TagName=""Character.Monster.Championable.Pack"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Unique""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Boss"")))",""
InvigoratedChamps,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Invigorated.StatusEffect_MonsterAffix_Invigorated_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion"")))","(GameplayTags=((TagName=""Character.Monster.HighHealth"")))",""
